letra_objetivo,ruido,seed,iters,motivo,convergio_a,outcome,hamming_inicial,hamming_final,energia_inicial,energia_final
A,0.1,1,2,stable,A,TP,1,0,-9.440000000000001,-11.200000000000001
A,0.2,1,2,stable,A,TP,5,0,-3.5200000000000005,-11.200000000000001
A,0.65,1,2,stable,,Espurio,14,14,-1.9200000000000002,-10.72
J,0.1,1,2,stable,J,TP,3,0,-5.4399999999999995,-11.040000000000001
J,0.2,1,2,stable,J,TP,3,0,-6.720000000000001,-11.040000000000001
J,0.65,1,4,stable,,Espurio,17,25,-0.31999999999999984,-11.040000000000001
K,0.1,1,1,stable,K,TP,0,0,-10.72,-10.72
K,0.2,1,4,stable,K,TP,4,0,-5.4399999999999995,-10.72
K,0.65,1,3,stable,,Espurio,17,25,-1.12,-10.72
U,0.1,1,2,stable,U,TP,4,0,-3.8400000000000007,-10.56
U,0.2,1,3,stable,,Espurio,8,9,-3.04,-8.8
U,0.65,1,5,stable,,Espurio,16,18,-0.6399999999999999,-10.400000000000002
