letra_objetivo,ruido,seed,iters,motivo,convergio_a,outcome,hamming_inicial,hamming_final,energia_inicial,energia_final
B,0.1,1,3,stable,D,FP,1,4,-17.92,-28.479999999999997
B,0.2,1,2,stable,D,FP,5,4,-10.400000000000002,-28.479999999999997
B,0.65,1,4,cycle,,Ciclo,14,20,1.28,-28.159999999999993
D,0.1,1,3,cycle,,Ciclo,3,1,-17.28,-28.159999999999993
D,0.2,1,2,stable,D,TP,3,0,-18.719999999999995,-28.479999999999997
D,0.65,1,4,cycle,,Ciclo,17,24,-4.48,-28.159999999999993
O,0.1,1,1,stable,O,TP,0,0,-28.479999999999993,-28.479999999999993
O,0.2,1,2,stable,O,TP,4,0,-9.279999999999998,-28.479999999999993
O,0.65,1,2,stable,,Espurio,17,25,-2.24,-28.479999999999993
X,0.1,1,3,stable,,Espurio,4,4,-12.16,-28.479999999999993
X,0.2,1,2,stable,,Espurio,8,4,-3.3600000000000003,-28.479999999999993
X,0.65,1,4,cycle,,Ciclo,16,20,-1.92,-28.159999999999993
