caso,letra,pixel,input,output
exp1,B,0,1,1
exp1,B,1,1,1
exp1,B,2,1,1
exp1,B,3,1,1
exp1,B,4,-1,-1
exp1,B,5,1,1
exp1,B,6,-1,-1
exp1,B,7,-1,-1
exp1,B,8,-1,-1
exp1,B,9,1,1
exp1,B,10,1,1
exp1,B,11,1,-1
exp1,B,12,1,-1
exp1,B,13,1,-1
exp1,B,14,-1,1
exp1,B,15,1,1
exp1,B,16,-1,-1
exp1,B,17,-1,-1
exp1,B,18,-1,-1
exp1,B,19,1,1
exp1,B,20,1,1
exp1,B,21,1,1
exp1,B,22,1,1
exp1,B,23,1,1
exp1,B,24,-1,-1
exp1,D,0,1,1
exp1,D,1,1,1
exp1,D,2,1,1
exp1,D,3,1,1
exp1,D,4,-1,-1
exp1,D,5,1,1
exp1,D,6,-1,-1
exp1,D,7,-1,-1
exp1,D,8,-1,-1
exp1,D,9,1,1
exp1,D,10,1,1
exp1,D,11,-1,-1
exp1,D,12,-1,-1
exp1,D,13,-1,-1
exp1,D,14,1,1
exp1,D,15,1,1
exp1,D,16,-1,-1
exp1,D,17,-1,-1
exp1,D,18,-1,-1
exp1,D,19,1,1
exp1,D,20,1,1
exp1,D,21,1,1
exp1,D,22,1,1
exp1,D,23,1,1
exp1,D,24,-1,-1
exp1,O,0,-1,-1
exp1,O,1,1,1
exp1,O,2,1,1
exp1,O,3,1,1
exp1,O,4,-1,-1
exp1,O,5,1,1
exp1,O,6,-1,-1
exp1,O,7,-1,-1
exp1,O,8,-1,-1
exp1,O,9,1,1
exp1,O,10,1,1
exp1,O,11,-1,-1
exp1,O,12,-1,-1
exp1,O,13,-1,-1
exp1,O,14,1,1
exp1,O,15,1,1
exp1,O,16,-1,-1
exp1,O,17,-1,-1
exp1,O,18,-1,-1
exp1,O,19,1,1
exp1,O,20,-1,-1
exp1,O,21,1,1
exp1,O,22,1,1
exp1,O,23,1,1
exp1,O,24,-1,-1
exp1,X,0,1,1
exp1,X,1,-1,-1
exp1,X,2,-1,-1
exp1,X,3,-1,-1
exp1,X,4,1,1
exp1,X,5,-1,-1
exp1,X,6,1,1
exp1,X,7,-1,1
exp1,X,8,1,1
exp1,X,9,-1,-1
exp1,X,10,-1,-1
exp1,X,11,-1,1
exp1,X,12,1,1
exp1,X,13,-1,1
exp1,X,14,-1,-1
exp1,X,15,-1,-1
exp1,X,16,1,1
exp1,X,17,-1,1
exp1,X,18,1,1
exp1,X,19,-1,-1
exp1,X,20,1,1
exp1,X,21,-1,-1
exp1,X,22,-1,-1
exp1,X,23,-1,-1
exp1,X,24,1,1
exp2_n10,B,0,1,1
exp2_n10,B,1,1,1
exp2_n10,B,2,1,1
exp2_n10,B,3,1,1
exp2_n10,B,4,-1,-1
exp2_n10,B,5,1,1
exp2_n10,B,6,-1,-1
exp2_n10,B,7,-1,-1
exp2_n10,B,8,-1,-1
exp2_n10,B,9,-1,1
exp2_n10,B,10,1,1
exp2_n10,B,11,1,-1
exp2_n10,B,12,1,-1
exp2_n10,B,13,1,-1
exp2_n10,B,14,-1,1
exp2_n10,B,15,1,1
exp2_n10,B,16,-1,-1
exp2_n10,B,17,-1,-1
exp2_n10,B,18,-1,-1
exp2_n10,B,19,1,1
exp2_n10,B,20,1,1
exp2_n10,B,21,1,1
exp2_n10,B,22,1,1
exp2_n10,B,23,1,1
exp2_n10,B,24,-1,-1
exp2_n20,B,0,1,1
exp2_n20,B,1,1,1
exp2_n20,B,2,1,1
exp2_n20,B,3,-1,1
exp2_n20,B,4,-1,-1
exp2_n20,B,5,1,1
exp2_n20,B,6,1,-1
exp2_n20,B,7,-1,-1
exp2_n20,B,8,-1,-1
exp2_n20,B,9,1,1
exp2_n20,B,10,1,1
exp2_n20,B,11,-1,-1
exp2_n20,B,12,1,-1
exp2_n20,B,13,1,-1
exp2_n20,B,14,1,1
exp2_n20,B,15,1,1
exp2_n20,B,16,-1,-1
exp2_n20,B,17,-1,-1
exp2_n20,B,18,-1,-1
exp2_n20,B,19,1,1
exp2_n20,B,20,1,1
exp2_n20,B,21,1,1
exp2_n20,B,22,1,1
exp2_n20,B,23,-1,1
exp2_n20,B,24,-1,-1
exp2_n65,B,0,1,1
exp2_n65,B,1,1,-1
exp2_n65,B,2,-1,-1
exp2_n65,B,3,1,-1
exp2_n65,B,4,1,1
exp2_n65,B,5,-1,-1
exp2_n65,B,6,-1,1
exp2_n65,B,7,-1,1
exp2_n65,B,8,-1,1
exp2_n65,B,9,-1,-1
exp2_n65,B,10,-1,-1
exp2_n65,B,11,-1,1
exp2_n65,B,12,-1,1
exp2_n65,B,13,1,1
exp2_n65,B,14,-1,-1
exp2_n65,B,15,-1,-1
exp2_n65,B,16,1,1
exp2_n65,B,17,1,1
exp2_n65,B,18,-1,1
exp2_n65,B,19,1,-1
exp2_n65,B,20,-1,-1
exp2_n65,B,21,-1,-1
exp2_n65,B,22,1,-1
exp2_n65,B,23,-1,-1
exp2_n65,B,24,1,1
exp2_n10,D,0,-1,1
exp2_n10,D,1,1,1
exp2_n10,D,2,1,1
exp2_n10,D,3,1,1
exp2_n10,D,4,-1,-1
exp2_n10,D,5,1,1
exp2_n10,D,6,-1,-1
exp2_n10,D,7,-1,-1
exp2_n10,D,8,-1,-1
exp2_n10,D,9,1,1
exp2_n10,D,10,-1,1
exp2_n10,D,11,-1,-1
exp2_n10,D,12,-1,-1
exp2_n10,D,13,-1,-1
exp2_n10,D,14,1,1
exp2_n10,D,15,1,1
exp2_n10,D,16,-1,-1
