caso,letra,pixel,input,output
exp1,G,0,-1,-1
exp1,G,1,1,1
exp1,G,2,1,1
exp1,G,3,1,1
exp1,G,4,1,1
exp1,G,5,1,1
exp1,G,6,-1,-1
exp1,G,7,-1,-1
exp1,G,8,-1,-1
exp1,G,9,-1,-1
exp1,G,10,1,1
exp1,G,11,-1,-1
exp1,G,12,-1,-1
exp1,G,13,1,1
exp1,G,14,1,1
exp1,G,15,1,1
exp1,G,16,-1,-1
exp1,G,17,-1,-1
exp1,G,18,-1,-1
exp1,G,19,1,1
exp1,G,20,-1,-1
exp1,G,21,1,1
exp1,G,22,1,1
exp1,G,23,1,1
exp1,G,24,1,1
exp1,R,0,1,1
exp1,R,1,1,1
exp1,R,2,1,1
exp1,R,3,1,1
exp1,R,4,-1,-1
exp1,R,5,1,1
exp1,R,6,-1,-1
exp1,R,7,-1,-1
exp1,R,8,-1,-1
exp1,R,9,1,1
exp1,R,10,1,1
exp1,R,11,1,1
exp1,R,12,1,1
exp1,R,13,1,1
exp1,R,14,-1,-1
exp1,R,15,1,1
exp1,R,16,-1,-1
exp1,R,17,-1,-1
exp1,R,18,1,1
exp1,R,19,-1,-1
exp1,R,20,1,1
exp1,R,21,-1,-1
exp1,R,22,-1,-1
exp1,R,23,-1,-1
exp1,R,24,1,1
exp1,T,0,1,1
exp1,T,1,1,1
exp1,T,2,1,1
exp1,T,3,1,1
exp1,T,4,1,1
exp1,T,5,-1,-1
exp1,T,6,-1,-1
exp1,T,7,1,1
exp1,T,8,-1,-1
exp1,T,9,-1,-1
exp1,T,10,-1,-1
exp1,T,11,-1,-1
exp1,T,12,1,1
exp1,T,13,-1,-1
exp1,T,14,-1,-1
exp1,T,15,-1,-1
exp1,T,16,-1,-1
exp1,T,17,1,1
exp1,T,18,-1,-1
exp1,T,19,-1,-1
exp1,T,20,-1,-1
exp1,T,21,-1,-1
exp1,T,22,1,1
exp1,T,23,-1,-1
exp1,T,24,-1,-1
exp1,V,0,1,1
exp1,V,1,-1,-1
exp1,V,2,-1,-1
exp1,V,3,-1,-1
exp1,V,4,1,1
exp1,V,5,1,1
exp1,V,6,-1,-1
exp1,V,7,-1,-1
exp1,V,8,-1,-1
exp1,V,9,1,1
exp1,V,10,1,1
exp1,V,11,-1,-1
exp1,V,12,-1,-1
exp1,V,13,-1,-1
exp1,V,14,1,1
exp1,V,15,-1,-1
exp1,V,16,1,1
exp1,V,17,-1,-1
exp1,V,18,1,1
exp1,V,19,-1,-1
exp1,V,20,-1,-1
exp1,V,21,-1,-1
exp1,V,22,1,1
exp1,V,23,-1,-1
exp1,V,24,-1,-1
exp2_n10,G,0,-1,-1
exp2_n10,G,1,1,1
exp2_n10,G,2,1,1
exp2_n10,G,3,1,1
exp2_n10,G,4,1,1
exp2_n10,G,5,1,1
exp2_n10,G,6,-1,-1
exp2_n10,G,7,-1,-1
exp2_n10,G,8,-1,-1
exp2_n10,G,9,1,-1
exp2_n10,G,10,1,1
exp2_n10,G,11,-1,-1
exp2_n10,G,12,-1,-1
exp2_n10,G,13,1,1
exp2_n10,G,14,1,1
exp2_n10,G,15,1,1
exp2_n10,G,16,-1,-1
exp2_n10,G,17,-1,-1
exp2_n10,G,18,-1,-1
exp2_n10,G,19,1,1
exp2_n10,G,20,-1,-1
exp2_n10,G,21,1,1
exp2_n10,G,22,1,1
exp2_n10,G,23,1,1
exp2_n10,G,24,1,1
exp2_n20,G,0,-1,-1
exp2_n20,G,1,1,1
exp2_n20,G,2,1,1
exp2_n20,G,3,-1,1
exp2_n20,G,4,1,1
exp2_n20,G,5,1,1
exp2_n20,G,6,1,-1
exp2_n20,G,7,-1,-1
exp2_n20,G,8,-1,-1
exp2_n20,G,9,-1,-1
exp2_n20,G,10,1,1
exp2_n20,G,11,1,-1
exp2_n20,G,12,-1,-1
exp2_n20,G,13,1,1
exp2_n20,G,14,-1,1
exp2_n20,G,15,1,1
exp2_n20,G,16,-1,-1
exp2_n20,G,17,-1,-1
exp2_n20,G,18,-1,-1
exp2_n20,G,19,1,1
exp2_n20,G,20,-1,-1
exp2_n20,G,21,1,1
exp2_n20,G,22,1,1
exp2_n20,G,23,-1,1
exp2_n20,G,24,1,1
exp2_n65,G,0,-1,1
exp2_n65,G,1,1,-1
exp2_n65,G,2,-1,-1
exp2_n65,G,3,1,-1
exp2_n65,G,4,-1,-1
exp2_n65,G,5,-1,-1
exp2_n65,G,6,-1,1
exp2_n65,G,7,-1,1
exp2_n65,G,8,-1,1
exp2_n65,G,9,1,1
exp2_n65,G,10,-1,-1
exp2_n65,G,11,1,1
exp2_n65,G,12,1,1
exp2_n65,G,13,1,-1
exp2_n65,G,14,1,-1
exp2_n65,G,15,-1,-1
exp2_n65,G,16,1,1
exp2_n65,G,17,1,1
exp2_n65,G,18,-1,1
exp2_n65,G,19,1,-1
exp2_n65,G,20,1,1
exp2_n65,G,21,-1,-1
