letra_objetivo,ruido,seed,iters,motivo,convergio_a,outcome,hamming_inicial,hamming_final,energia_inicial,energia_final
H,0.1,1,3,stable,N,FP,1,4,-22.08,-33.919999999999995
H,0.2,1,3,stable,N,FP,5,4,-13.920000000000002,-33.919999999999995
H,0.65,1,3,stable,,Espurio,14,21,-0.32000000000000006,-33.919999999999995
M,0.1,1,2,stable,N,FP,3,2,-19.359999999999992,-33.919999999999995
M,0.2,1,3,stable,N,FP,3,2,-16.64,-33.919999999999995
M,0.65,1,3,stable,,Espurio,17,23,-3.3600000000000008,-33.919999999999995
N,0.1,1,1,stable,N,TP,0,0,-33.919999999999995,-33.919999999999995
N,0.2,1,2,stable,N,TP,4,0,-12.16,-33.919999999999995
N,0.65,1,3,stable,,Espurio,17,25,-6.88,-33.919999999999995
W,0.1,1,3,stable,N,FP,4,2,-10.399999999999999,-33.919999999999995
W,0.2,1,2,stable,N,FP,8,2,-6.239999999999998,-33.919999999999995
W,0.65,1,3,stable,,Espurio,16,23,-1.7600000000000007,-33.919999999999995
