caso,letra,pixel,input,output
exp1,H,0,1,1
exp1,H,1,-1,-1
exp1,H,2,-1,-1
exp1,H,3,-1,-1
exp1,H,4,1,1
exp1,H,5,1,1
exp1,H,6,-1,1
exp1,H,7,-1,-1
exp1,H,8,-1,-1
exp1,H,9,1,1
exp1,H,10,1,1
exp1,H,11,1,-1
exp1,H,12,1,1
exp1,H,13,1,-1
exp1,H,14,1,1
exp1,H,15,1,1
exp1,H,16,-1,-1
exp1,H,17,-1,-1
exp1,H,18,-1,1
exp1,H,19,1,1
exp1,H,20,1,1
exp1,H,21,-1,-1
exp1,H,22,-1,-1
exp1,H,23,-1,-1
exp1,H,24,1,1
exp1,M,0,1,1
exp1,M,1,-1,-1
exp1,M,2,-1,-1
exp1,M,3,-1,-1
exp1,M,4,1,1
exp1,M,5,1,1
exp1,M,6,1,1
exp1,M,7,-1,-1
exp1,M,8,1,-1
exp1,M,9,1,1
exp1,M,10,1,1
exp1,M,11,-1,-1
exp1,M,12,1,1
exp1,M,13,-1,-1
exp1,M,14,1,1
exp1,M,15,1,1
exp1,M,16,-1,-1
exp1,M,17,-1,-1
exp1,M,18,-1,1
exp1,M,19,1,1
exp1,M,20,1,1
exp1,M,21,-1,-1
exp1,M,22,-1,-1
exp1,M,23,-1,-1
exp1,M,24,1,1
exp1,N,0,1,1
exp1,N,1,-1,-1
exp1,N,2,-1,-1
exp1,N,3,-1,-1
exp1,N,4,1,1
exp1,N,5,1,1
exp1,N,6,1,1
exp1,N,7,-1,-1
exp1,N,8,-1,-1
exp1,N,9,1,1
exp1,N,10,1,1
exp1,N,11,-1,-1
exp1,N,12,1,1
exp1,N,13,-1,-1
exp1,N,14,1,1
exp1,N,15,1,1
exp1,N,16,-1,-1
exp1,N,17,-1,-1
exp1,N,18,1,1
exp1,N,19,1,1
exp1,N,20,1,1
exp1,N,21,-1,-1
exp1,N,22,-1,-1
exp1,N,23,-1,-1
exp1,N,24,1,1
exp1,W,0,1,1
exp1,W,1,-1,-1
exp1,W,2,-1,-1
exp1,W,3,-1,-1
exp1,W,4,1,1
exp1,W,5,1,1
exp1,W,6,-1,1
exp1,W,7,-1,-1
exp1,W,8,-1,-1
exp1,W,9,1,1
exp1,W,10,1,1
exp1,W,11,-1,-1
exp1,W,12,1,1
exp1,W,13,-1,-1
exp1,W,14,1,1
exp1,W,15,1,1
exp1,W,16,1,-1
exp1,W,17,-1,-1
exp1,W,18,1,1
exp1,W,19,1,1
exp1,W,20,1,1
exp1,W,21,-1,-1
exp1,W,22,-1,-1
exp1,W,23,-1,-1
exp1,W,24,1,1
exp2_n10,H,0,1,1
exp2_n10,H,1,-1,-1
exp2_n10,H,2,-1,-1
exp2_n10,H,3,-1,-1
exp2_n10,H,4,1,1
exp2_n10,H,5,1,1
exp2_n10,H,6,-1,1
exp2_n10,H,7,-1,-1
exp2_n10,H,8,-1,-1
exp2_n10,H,9,-1,1
exp2_n10,H,10,1,1
exp2_n10,H,11,1,-1
exp2_n10,H,12,1,1
exp2_n10,H,13,1,-1
exp2_n10,H,14,1,1
exp2_n10,H,15,1,1
exp2_n10,H,16,-1,-1
exp2_n10,H,17,-1,-1
exp2_n10,H,18,-1,1
exp2_n10,H,19,1,1
exp2_n10,H,20,1,1
exp2_n10,H,21,-1,-1
exp2_n10,H,22,-1,-1
exp2_n10,H,23,-1,-1
exp2_n10,H,24,1,1
exp2_n20,H,0,1,1
exp2_n20,H,1,-1,-1
exp2_n20,H,2,-1,-1
exp2_n20,H,3,1,-1
exp2_n20,H,4,1,1
exp2_n20,H,5,1,1
exp2_n20,H,6,1,1
exp2_n20,H,7,-1,-1
exp2_n20,H,8,-1,-1
exp2_n20,H,9,1,1
exp2_n20,H,10,1,1
exp2_n20,H,11,-1,-1
exp2_n20,H,12,1,1
exp2_n20,H,13,1,-1
exp2_n20,H,14,-1,1
exp2_n20,H,15,1,1
exp2_n20,H,16,-1,-1
exp2_n20,H,17,-1,-1
exp2_n20,H,18,-1,1
exp2_n20,H,19,1,1
exp2_n20,H,20,1,1
exp2_n20,H,21,-1,-1
exp2_n20,H,22,-1,-1
exp2_n20,H,23,1,-1
exp2_n20,H,24,1,1
exp2_n65,H,0,1,-1
exp2_n65,H,1,-1,1
exp2_n65,H,2,1,1
exp2_n65,H,3,-1,1
exp2_n65,H,4,-1,-1
exp2_n65,H,5,-1,-1
exp2_n65,H,6,-1,-1
exp2_n65,H,7,-1,1
exp2_n65,H,8,-1,1
exp2_n65,H,9,-1,-1
exp2_n65,H,10,-1,-1
exp2_n65,H,11,-1,1
exp2_n65,H,12,-1,-1
exp2_n65,H,13,1,1
exp2_n65,H,14,1,-1
exp2_n65,H,15,-1,-1
exp2_n65,H,16,1,1
exp2_n65,H,17,1,1
exp2_n65,H,18,-1,-1
exp2_n65,H,19,1,-1
exp2_n65,H,20,-1,-1
exp2_n65,H,21,1,1
exp2_n65,H,22,-1,1
exp2_n65,H,23,1,1
exp2_n65,H,24,-1,-1
exp2_n10,M,0,-1,1
exp2_n10,M,1,-1,-1
exp2_n10,M,2,-1,-1
exp2_n10,M,3,-1,-1
exp2_n10,M,4,1,1
exp2_n10,M,5,1,1
exp2_n10,M,6,1,1
exp2_n10,M,7,-1,-1
exp2_n10,M,8,1,-1
exp2_n10,M,9,1,1
exp2_n10,M,10,-1,1
exp2_n10,M,11,-1,-1
exp2_n10,M,12,1,1
exp2_n10,M,13,-1,-1
exp2_n10,M,14,1,1
exp2_n10,M,15,1,1
exp2_n10,M,16,-1,-1
exp2_n10,M,17,-1,-1
exp2_n10,M,18,1,1
exp2_n10,M,19,1,1
exp2_n10,M,20,1,1
exp2_n10,M,21,-1,-1
exp2_n10,M,22,-1,-1
exp2_n10,M,23,-1,-1
exp2_n10,M,24,1,1
exp2_n20,M,0,1,1
exp2_n20,M,1,-1,-1
exp2_n20,M,2,-1,-1
exp2_n20,M,3,-1,-1
exp2_n20,M,4,1,1
exp2_n20,M,5,1,1
exp2_n20,M,6,1,1
exp2_n20,M,7,1,-1
exp2_n20,M,8,1,-1
exp2_n20,M,9,1,1
exp2_n20,M,10,1,1
exp2_n20,M,11,1,-1
exp2_n20,M,12,1,1
exp2_n20,M,13,-1,-1
exp2_n20,M,14,1,1
exp2_n20,M,15,-1,1
exp2_n20,M,16,-1,-1
exp2_n20,M,17,-1,-1
exp2_n20,M,18,-1,1
exp2_n20,M,19,1,1
exp2_n20,M,20,1,1
exp2_n20,M,21,-1,-1
exp2_n20,M,22,-1,-1
exp2_n20,M,23,-1,-1
exp2_n20,M,24,1,1
exp2_n65,M,0,-1,-1
exp2_n65,M,1,1,1
exp2_n65,M,2,1,1
exp2_n65,M,3,1,1
exp2_n65,M,4,-1,-1
exp2_n65,M,5,-1,-1
exp2_n65,M,6,-1,-1
exp2_n65,M,7,-1,1
exp2_n65,M,8,1,1
exp2_n65,M,9,1,-1
exp2_n65,M,10,1,-1
exp2_n65,M,11,1,1
exp2_n65,M,12,1,-1
exp2_n65,M,13,-1,1
exp2_n65,M,14,-1,-1
exp2_n65,M,15,-1,-1
exp2_n65,M,16,1,1
exp2_n65,M,17,1,1
exp2_n65,M,18,1,-1
exp2_n65,M,19,-1,-1
exp2_n65,M,20,1,-1
exp2_n65,M,21,1,1
exp2_n65,M,22,-1,1
exp2_n65,M,23,1,1
exp2_n65,M,24,-1,-1
exp2_n10,N,0,1,1
exp2_n10,N,1,-1,-1
exp2_n10,N,2,-1,-1
exp2_n10,N,3,-1,-1
exp2_n10,N,4,1,1
exp2_n10,N,5,1,1
exp2_n10,N,6,1,1
exp2_n10,N,7,-1,-1
exp2_n10,N,8,-1,-1
exp2_n10,N,9,1,1
exp2_n10,N,10,1,1
exp2_n10,N,11,-1,-1
exp2_n10,N,12,1,1
exp2_n10,N,13,-1,-1
exp2_n10,N,14,1,1
exp2_n10,N,15,1,1
exp2_n10,N,16,-1,-1
exp2_n10,N,17,-1,-1
exp2_n10,N,18,1,1
exp2_n10,N,19,1,1
exp2_n10,N,20,1,1
exp2_n10,N,21,-1,-1
exp2_n10,N,22,-1,-1
exp2_n10,N,23,-1,-1
exp2_n10,N,24,1,1
exp2_n20,N,0,1,1
exp2_n20,N,1,1,-1
exp2_n20,N,2,-1,-1
exp2_n20,N,3,-1,-1
exp2_n20,N,4,1,1
exp2_n20,N,5,1,1
exp2_n20,N,6,1,1
exp2_n20,N,7,-1,-1
exp2_n20,N,8,-1,-1
exp2_n20,N,9,-1,1
exp2_n20,N,10,1,1
exp2_n20,N,11,-1,-1
exp2_n20,N,12,1,1
exp2_n20,N,13,-1,-1
exp2_n20,N,14,1,1
exp2_n20,N,15,1,1
exp2_n20,N,16,-1,-1
exp2_n20,N,17,-1,-1
exp2_n20,N,18,1,1
exp2_n20,N,19,-1,1
exp2_n20,N,20,1,1
exp2_n20,N,21,-1,-1
exp2_n20,N,22,-1,-1
exp2_n20,N,23,1,-1
