letra_objetivo,ruido,seed,iters,motivo,convergio_a,outcome,hamming_inicial,hamming_final,energia_inicial,energia_final
J,0.1,1,2,stable,J,TP,1,0,-9.120000000000001,-10.719999999999999
J,0.2,1,2,stable,J,TP,5,0,-2.72,-10.719999999999999
J,0.65,1,2,stable,R,FP,14,11,-0.6400000000000001,-10.879999999999999
L,0.1,1,2,stable,L,TP,3,0,-5.6000000000000005,-10.719999999999999
L,0.2,1,2,stable,L,TP,3,0,-5.76,-10.719999999999999
L,0.65,1,3,stable,,Espurio,17,25,0.16,-10.719999999999999
R,0.1,1,1,stable,R,TP,0,0,-10.879999999999999,-10.879999999999999
R,0.2,1,2,stable,R,TP,4,0,-4.800000000000001,-10.879999999999999
R,0.65,1,7,stable,,Espurio,17,14,-2.56,-10.719999999999999
X,0.1,1,2,stable,X,TP,4,0,-4.48,-10.559999999999999
X,0.2,1,2,stable,,Espurio,8,7,-2.24,-8.32
X,0.65,1,3,stable,,Espurio,16,25,0.6399999999999999,-10.559999999999999
