caso,letra,pixel,input,output
exp1,G,0,-1,-1
exp1,G,1,1,1
exp1,G,2,1,1
exp1,G,3,1,1
exp1,G,4,1,1
exp1,G,5,1,1
exp1,G,6,-1,-1
exp1,G,7,-1,-1
exp1,G,8,-1,-1
exp1,G,9,-1,-1
exp1,G,10,1,1
exp1,G,11,-1,-1
exp1,G,12,-1,-1
exp1,G,13,1,1
exp1,G,14,1,1
exp1,G,15,1,1
exp1,G,16,-1,-1
exp1,G,17,-1,-1
exp1,G,18,-1,-1
exp1,G,19,1,1
exp1,G,20,-1,-1
exp1,G,21,1,1
exp1,G,22,1,1
exp1,G,23,1,1
exp1,G,24,1,1
exp1,M,0,1,1
exp1,M,1,-1,-1
exp1,M,2,-1,-1
exp1,M,3,-1,-1
exp1,M,4,1,1
exp1,M,5,1,1
exp1,M,6,1,1
exp1,M,7,-1,-1
exp1,M,8,1,1
exp1,M,9,1,1
exp1,M,10,1,1
exp1,M,11,-1,-1
exp1,M,12,1,1
exp1,M,13,-1,-1
exp1,M,14,1,1
exp1,M,15,1,1
exp1,M,16,-1,-1
exp1,M,17,-1,-1
exp1,M,18,-1,-1
exp1,M,19,1,1
exp1,M,20,1,1
exp1,M,21,-1,-1
exp1,M,22,-1,-1
exp1,M,23,-1,-1
exp1,M,24,1,1
exp1,P,0,1,1
exp1,P,1,1,1
exp1,P,2,1,1
exp1,P,3,1,1
exp1,P,4,-1,-1
exp1,P,5,1,1
exp1,P,6,-1,-1
exp1,P,7,-1,-1
exp1,P,8,-1,-1
exp1,P,9,1,1
exp1,P,10,1,1
exp1,P,11,1,1
exp1,P,12,1,1
exp1,P,13,1,1
exp1,P,14,-1,-1
exp1,P,15,1,1
exp1,P,16,-1,-1
exp1,P,17,-1,-1
exp1,P,18,-1,-1
exp1,P,19,-1,-1
exp1,P,20,1,1
exp1,P,21,-1,-1
exp1,P,22,-1,-1
exp1,P,23,-1,-1
exp1,P,24,-1,-1
exp1,V,0,1,1
exp1,V,1,-1,-1
exp1,V,2,-1,-1
exp1,V,3,-1,-1
exp1,V,4,1,1
exp1,V,5,1,1
exp1,V,6,-1,-1
exp1,V,7,-1,-1
exp1,V,8,-1,-1
exp1,V,9,1,1
exp1,V,10,1,1
exp1,V,11,-1,-1
exp1,V,12,-1,-1
exp1,V,13,-1,-1
exp1,V,14,1,1
exp1,V,15,-1,-1
exp1,V,16,1,1
exp1,V,17,-1,-1
exp1,V,18,1,1
exp1,V,19,-1,-1
exp1,V,20,-1,-1
exp1,V,21,-1,-1
exp1,V,22,1,1
exp1,V,23,-1,-1
exp1,V,24,-1,-1
exp1,Z,0,1,1
exp1,Z,1,1,1
exp1,Z,2,1,1
exp1,Z,3,1,1
exp1,Z,4,1,1
exp1,Z,5,-1,-1
exp1,Z,6,-1,-1
exp1,Z,7,-1,-1
exp1,Z,8,1,1
exp1,Z,9,-1,-1
exp1,Z,10,-1,-1
exp1,Z,11,-1,-1
exp1,Z,12,1,1
exp1,Z,13,-1,-1
exp1,Z,14,-1,-1
exp1,Z,15,-1,-1
exp1,Z,16,1,1
exp1,Z,17,-1,-1
exp1,Z,18,-1,-1
exp1,Z,19,-1,-1
exp1,Z,20,1,1
exp1,Z,21,1,1
exp1,Z,22,1,1
exp1,Z,23,1,1
exp1,Z,24,1,1
exp2_n10,G,0,-1,-1
exp2_n10,G,1,1,1
exp2_n10,G,2,1,1
exp2_n10,G,3,1,1
exp2_n10,G,4,1,1
exp2_n10,G,5,1,1
exp2_n10,G,6,-1,-1
exp2_n10,G,7,-1,-1
exp2_n10,G,8,-1,-1
exp2_n10,G,9,1,-1
exp2_n10,G,10,1,1
exp2_n10,G,11,-1,-1
exp2_n10,G,12,-1,-1
exp2_n10,G,13,1,1
exp2_n10,G,14,1,1
exp2_n10,G,15,1,1
exp2_n10,G,16,-1,-1
exp2_n10,G,17,-1,-1
exp2_n10,G,18,-1,-1
exp2_n10,G,19,1,1
exp2_n10,G,20,-1,-1
exp2_n10,G,21,1,1
exp2_n10,G,22,1,1
exp2_n10,G,23,1,1
exp2_n10,G,24,1,1
exp2_n20,G,0,-1,-1
exp2_n20,G,1,1,1
exp2_n20,G,2,1,1
exp2_n20,G,3,-1,1
exp2_n20,G,4,1,1
exp2_n20,G,5,1,1
exp2_n20,G,6,1,-1
exp2_n20,G,7,-1,-1
exp2_n20,G,8,-1,-1
exp2_n20,G,9,-1,-1
exp2_n20,G,10,1,1
exp2_n20,G,11,1,-1
exp2_n20,G,12,-1,-1
exp2_n20,G,13,1,1
exp2_n20,G,14,-1,1
exp2_n20,G,15,1,1
exp2_n20,G,16,-1,-1
exp2_n20,G,17,-1,-1
exp2_n20,G,18,-1,-1
exp2_n20,G,19,1,1
exp2_n20,G,20,-1,-1
exp2_n20,G,21,1,1
exp2_n20,G,22,1,1
exp2_n20,G,23,-1,1
exp2_n20,G,24,1,1
