fase,letra,ruido,iters,motivo,convergio_a,outcome,es_fijo,hamming_inicial,hamming_final,energia_inicial,energia_final
exp1,J,0.0,1,stable,J,TP,True,0,0,-11.36,-11.36
exp1,L,0.0,1,stable,L,TP,True,0,0,-10.400000000000002,-10.400000000000002
exp1,R,0.0,1,stable,R,TP,True,0,0,-9.92,-9.92
exp1,T,0.0,1,stable,T,TP,True,0,0,-11.36,-11.36
exp1,V,0.0,1,stable,V,TP,True,0,0,-10.559999999999999,-10.559999999999999
exp1,X,0.0,1,stable,X,TP,True,0,0,-10.08,-10.08
exp2_n10,J,0.1,2,stable,J,TP,False,1,0,-9.28,-11.36
exp2_n20,J,0.2,2,stable,J,TP,False,5,0,-1.76,-11.36
exp2_n10,L,0.1,2,stable,L,TP,False,2,0,-6.24,-10.400000000000002
exp2_n20,L,0.2,6,stable,L,TP,False,6,0,-3.0399999999999996,-10.400000000000002
exp2_n10,R,0.1,2,stable,R,TP,False,1,0,-8.64,-9.92
exp2_n20,R,0.2,2,stable,R,TP,False,4,0,-3.36,-9.92
exp2_n10,T,0.1,1,stable,T,TP,False,0,0,-11.36,-11.36
exp2_n20,T,0.2,2,stable,T,TP,False,4,0,-3.6799999999999997,-11.36
exp2_n10,V,0.1,2,stable,,Espurio,False,2,2,-7.84,-10.08
exp2_n20,V,0.2,5,cycle,,Ciclo,False,8,9,-0.6399999999999999,-10.4
exp2_n10,X,0.1,5,stable,J,FP,False,6,12,-3.6800000000000006,-11.36
exp2_n20,X,0.2,8,cycle,,Ciclo,False,10,11,2.08,-10.4
