group,letter,noise,sample_idx
AJKU,A,0.05,0
AJKU,A,0.1,0
AJKU,A,0.15,0
AJKU,A,0.2,0
AJKU,A,0.25,0
AJKU,A,0.3,0
AJKU,A,0.35,0
AJKU,A,0.4,0
AJKU,A,0.45,0
AJKU,A,0.5,0
AJKU,A,0.55,0
AJKU,A,0.6,0
AJKU,A,0.65,0
AJKU,J,0.05,0
AJKU,J,0.1,0
AJKU,J,0.15,0
AJKU,J,0.2,0
AJKU,J,0.25,0
AJKU,J,0.3,0
AJKU,J,0.35,0
AJKU,J,0.4,0
AJKU,J,0.45,0
AJKU,J,0.5,0
AJKU,J,0.55,0
AJKU,J,0.6,0
AJKU,J,0.65,0
AJKU,K,0.05,0
AJKU,K,0.1,0
AJKU,K,0.15,0
AJKU,K,0.2,0
AJKU,K,0.25,0
AJKU,K,0.3,0
AJKU,K,0.35,0
AJKU,K,0.4,0
AJKU,K,0.45,0
AJKU,K,0.5,0
AJKU,K,0.55,0
AJKU,K,0.6,0
AJKU,K,0.65,0
AJKU,U,0.05,0
AJKU,U,0.1,0
AJKU,U,0.15,0
AJKU,U,0.2,0
AJKU,U,0.25,0
AJKU,U,0.3,0
AJKU,U,0.35,0
AJKU,U,0.4,0
AJKU,U,0.45,0
AJKU,U,0.5,0
AJKU,U,0.55,0
AJKU,U,0.6,0
AJKU,U,0.65,0
BDOX,B,0.05,0
BDOX,B,0.1,0
BDOX,B,0.15,0
BDOX,B,0.2,0
BDOX,B,0.25,0
BDOX,B,0.3,0
BDOX,B,0.35,0
BDOX,B,0.4,0
BDOX,B,0.45,0
BDOX,B,0.5,0
BDOX,B,0.55,0
BDOX,B,0.6,0
BDOX,B,0.65,0
BDOX,D,0.05,0
BDOX,D,0.1,0
BDOX,D,0.15,0
BDOX,D,0.2,0
BDOX,D,0.25,0
BDOX,D,0.3,0
BDOX,D,0.35,0
BDOX,D,0.4,0
BDOX,D,0.45,0
BDOX,D,0.5,0
BDOX,D,0.55,0
BDOX,D,0.6,0
BDOX,D,0.65,0
BDOX,O,0.05,0
BDOX,O,0.1,0
BDOX,O,0.15,0
BDOX,O,0.2,0
BDOX,O,0.25,0
BDOX,O,0.3,0
BDOX,O,0.35,0
BDOX,O,0.4,0
