group,letter,noise,sample_idx,seed,target_idx,motivo,iters,outcome,convergio_a,hamming_input_target,hamming_output_target,hamming_input_output,energia_inicial,energia_final
GRTV,G,0.1,0,1,0,stable,2,TP,G,1,0,1,-8.96,-10.559999999999999
GRTV,G,0.1,1,2,0,stable,2,TP,G,2,0,2,-7.04,-10.559999999999999
GRTV,G,0.1,2,3,0,stable,2,TP,G,3,0,3,-6.5600000000000005,-10.559999999999999
GRTV,G,0.1,3,4,0,stable,2,TP,G,1,0,1,-8.8,-10.559999999999999
GRTV,G,0.1,4,5,0,stable,2,TP,G,5,0,5,-2.88,-10.559999999999999
GRTV,G,0.1,5,6,0,stable,2,TP,G,3,0,3,-5.44,-10.559999999999999
GRTV,G,0.1,6,7,0,stable,2,TP,G,3,0,3,-5.28,-10.559999999999999
GRTV,G,0.1,7,8,0,stable,2,TP,G,1,0,1,-8.64,-10.559999999999999
GRTV,G,0.1,8,9,0,stable,2,TP,G,3,0,3,-6.5600000000000005,-10.559999999999999
GRTV,G,0.1,9,10,0,stable,1,TP,G,0,0,0,-10.559999999999999,-10.559999999999999
GRTV,G,0.1,10,11,0,stable,2,TP,G,2,0,2,-7.5200000000000005,-10.559999999999999
GRTV,G,0.1,11,12,0,stable,2,TP,G,2,0,2,-7.199999999999999,-10.559999999999999
GRTV,G,0.1,12,13,0,stable,2,TP,G,3,0,3,-6.400000000000001,-10.559999999999999
GRTV,G,0.1,13,14,0,stable,2,TP,G,1,0,1,-9.120000000000001,-10.559999999999999
GRTV,G,0.1,14,15,0,stable,2,TP,G,2,0,2,-6.880000000000001,-10.559999999999999
GRTV,G,0.1,15,16,0,stable,2,TP,G,3,0,3,-6.08,-10.559999999999999
GRTV,G,0.1,16,17,0,stable,2,TP,G,4,0,4,-4.48,-10.559999999999999
GRTV,G,0.1,17,18,0,stable,2,TP,G,3,0,3,-5.760000000000002,-10.559999999999999
GRTV,G,0.1,18,19,0,stable,2,TP,G,3,0,3,-5.6,-10.559999999999999
GRTV,G,0.1,19,20,0,stable,3,TP,G,6,0,6,-3.04,-10.559999999999999
GRTV,G,0.1,20,21,0,stable,2,TP,G,2,0,2,-7.040000000000001,-10.559999999999999
GRTV,G,0.1,21,22,0,stable,3,TP,G,4,0,4,-5.92,-10.559999999999999
GRTV,G,0.1,22,23,0,stable,2,TP,G,2,0,2,-7.84,-10.559999999999999
GRTV,G,0.1,23,24,0,stable,3,TP,G,4,0,4,-5.12,-10.559999999999999
GRTV,G,0.1,24,25,0,stable,2,TP,G,2,0,2,-7.36,-10.559999999999999
GRTV,G,0.1,25,26,0,stable,2,TP,G,1,0,1,-8.8,-10.559999999999999
GRTV,G,0.1,26,27,0,stable,2,TP,G,2,0,2,-7.840000000000001,-10.559999999999999
GRTV,G,0.1,27,28,0,stable,2,TP,G,5,0,5,-3.0400000000000005,-10.559999999999999
GRTV,G,0.1,28,29,0,stable,2,TP,G,4,0,4,-3.84,-10.559999999999999
GRTV,G,0.1,29,30,0,stable,2,TP,G,2,0,2,-7.36,-10.559999999999999
GRTV,G,0.2,0,1,0,stable,2,TP,G,3,0,3,-6.720000000000001,-10.559999999999999
GRTV,G,0.2,1,2,0,stable,2,TP,G,5,0,5,-2.8800000000000003,-10.559999999999999
GRTV,G,0.2,2,3,0,stable,3,TP,G,5,0,5,-3.84,-10.559999999999999
GRTV,G,0.2,3,4,0,stable,2,TP,G,4,0,4,-4.0,-10.559999999999999
GRTV,G,0.2,4,5,0,stable,2,TP,G,5,0,5,-2.88,-10.559999999999999
GRTV,G,0.2,5,6,0,stable,2,TP,G,6,0,6,-1.9200000000000004,-10.559999999999999
GRTV,G,0.2,6,7,0,stable,2,TP,G,4,0,4,-4.16,-10.559999999999999
GRTV,G,0.2,7,8,0,stable,2,TP,G,5,0,5,-3.04,-10.559999999999999
GRTV,G,0.2,8,9,0,stable,2,TP,G,3,0,3,-6.5600000000000005,-10.559999999999999
GRTV,G,0.2,9,10,0,stable,2,TP,G,4,0,4,-4.640000000000001,-10.559999999999999
GRTV,G,0.2,10,11,0,stable,2,TP,G,6,0,6,-1.9200000000000002,-10.559999999999999
GRTV,G,0.2,11,12,0,stable,4,TP,G,7,0,7,-1.44,-10.559999999999999
GRTV,G,0.2,12,13,0,stable,2,TP,G,4,0,4,-5.6000000000000005,-10.559999999999999
GRTV,G,0.2,13,14,0,stable,2,TP,G,1,0,1,-9.120000000000001,-10.559999999999999
GRTV,G,0.2,14,15,0,stable,2,TP,G,3,0,3,-5.44,-10.559999999999999
GRTV,G,0.2,15,16,0,cycle,3,CICLO,,7,5,6,-3.52,-7.04
GRTV,G,0.2,16,17,0,stable,4,TP,G,7,0,7,-2.08,-10.559999999999999
GRTV,G,0.2,17,18,0,stable,2,TP,G,5,0,5,-3.3600000000000003,-10.559999999999999
GRTV,G,0.2,18,19,0,stable,2,TP,G,3,0,3,-5.6,-10.559999999999999
GRTV,G,0.2,19,20,0,stable,4,TP,G,8,0,8,-0.8000000000000002,-10.559999999999999
