group,letter,noise,n_TP,n_FP,n_FN,n_COMPLEMENT,n_CICLO,n_samples,tasa_TP,tasa_FP,tasa_FN,tasa_COMPLEMENT,tasa_CICLO
AL,A,0.05,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
AL,A,0.1,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
AL,A,0.15,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
AL,A,0.2,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
AL,A,0.25,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
AL,A,0.3,29,1,0,0,0,30,0.9666666666666667,0.03333333333333333,0.0,0.0,0.0
AL,A,0.35,24,4,0,1,1,30,0.8,0.13333333333333333,0.0,0.03333333333333333,0.03333333333333333
AL,A,0.4,18,5,0,2,5,30,0.6,0.16666666666666666,0.0,0.06666666666666667,0.16666666666666666
AL,A,0.45,11,5,0,5,9,30,0.36666666666666664,0.16666666666666666,0.0,0.16666666666666666,0.3
AL,A,0.5,6,7,0,9,8,30,0.2,0.23333333333333334,0.0,0.3,0.26666666666666666
AL,A,0.55,4,3,0,14,9,30,0.13333333333333333,0.1,0.0,0.4666666666666667,0.3
AL,A,0.6,2,2,0,17,9,30,0.06666666666666667,0.06666666666666667,0.0,0.5666666666666667,0.3
AL,A,0.65,1,0,0,25,4,30,0.03333333333333333,0.0,0.0,0.8333333333333334,0.13333333333333333
AL,L,0.05,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
AL,L,0.1,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
AL,L,0.15,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
AL,L,0.2,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
AL,L,0.25,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
AL,L,0.3,29,1,0,0,0,30,0.9666666666666667,0.03333333333333333,0.0,0.0,0.0
