group,noise,n_TP,n_FP,n_FN,n_COMPLEMENT,n_CICLO,n_samples,tasa_TP,tasa_FP,tasa_FN,tasa_COMPLEMENT,tasa_CICLO
AL,0.05,60,0,0,0,0,60,1.0,0.0,0.0,0.0,0.0
AL,0.1,60,0,0,0,0,60,1.0,0.0,0.0,0.0,0.0
AL,0.15,60,0,0,0,0,60,1.0,0.0,0.0,0.0,0.0
AL,0.2,60,0,0,0,0,60,1.0,0.0,0.0,0.0,0.0
AL,0.25,60,0,0,0,0,60,1.0,0.0,0.0,0.0,0.0
AL,0.3,58,2,0,0,0,60,0.9666666666666667,0.03333333333333333,0.0,0.0,0.0
AL,0.35,48,8,0,2,2,60,0.8,0.13333333333333333,0.0,0.03333333333333333,0.03333333333333333
AL,0.4,36,10,0,4,10,60,0.6,0.16666666666666666,0.0,0.06666666666666667,0.16666666666666666
AL,0.45,22,10,0,10,18,60,0.36666666666666664,0.16666666666666666,0.0,0.16666666666666666,0.3
AL,0.5,12,14,0,18,16,60,0.2,0.23333333333333334,0.0,0.3,0.26666666666666666
AL,0.55,8,6,0,28,18,60,0.13333333333333333,0.1,0.0,0.4666666666666667,0.3
AL,0.6,4,4,0,34,18,60,0.06666666666666667,0.06666666666666667,0.0,0.5666666666666667,0.3
AL,0.65,2,0,0,50,8,60,0.03333333333333333,0.0,0.0,0.8333333333333334,0.13333333333333333
FUY,0.05,90,0,0,0,0,90,1.0,0.0,0.0,0.0,0.0
FUY,0.1,90,0,0,0,0,90,1.0,0.0,0.0,0.0,0.0
FUY,0.15,88,0,2,0,0,90,0.9777777777777777,0.0,0.022222222222222223,0.0,0.0
FUY,0.2,85,0,3,0,2,90,0.9444444444444444,0.0,0.03333333333333333,0.0,0.022222222222222223
FUY,0.25,83,0,5,2,0,90,0.9222222222222223,0.0,0.05555555555555555,0.022222222222222223,0.0
FUY,0.3,73,2,6,7,2,90,0.8111111111111111,0.022222222222222223,0.06666666666666667,0.07777777777777778,0.022222222222222223
FUY,0.35,55,11,7,12,5,90,0.6111111111111112,0.12222222222222222,0.07777777777777778,0.13333333333333333,0.05555555555555555
FUY,0.4,40,14,10,19,7,90,0.4444444444444444,0.15555555555555556,0.1111111111111111,0.2111111111111111,0.07777777777777778
FUY,0.45,25,22,11,29,3,90,0.2777777777777778,0.24444444444444444,0.12222222222222222,0.32222222222222224,0.03333333333333333
FUY,0.5,19,23,9,32,7,90,0.2111111111111111,0.25555555555555554,0.1,0.35555555555555557,0.07777777777777778
FUY,0.55,10,23,13,38,6,90,0.1111111111111111,0.25555555555555554,0.14444444444444443,0.4222222222222222,0.06666666666666667
FUY,0.6,6,20,11,50,3,90,0.06666666666666667,0.2222222222222222,0.12222222222222222,0.5555555555555556,0.03333333333333333
FUY,0.65,3,9,14,57,7,90,0.03333333333333333,0.1,0.15555555555555556,0.6333333333333333,0.07777777777777778
GMPVZ,0.05,150,0,0,0,0,150,1.0,0.0,0.0,0.0,0.0
GMPVZ,0.1,147,0,0,0,3,150,0.98,0.0,0.0,0.0,0.02
GMPVZ,0.15,144,1,4,0,1,150,0.96,0.006666666666666667,0.02666666666666667,0.0,0.006666666666666667
GMPVZ,0.2,135,2,7,0,6,150,0.9,0.013333333333333334,0.04666666666666667,0.0,0.04
GMPVZ,0.25,123,4,11,0,12,150,0.82,0.02666666666666667,0.07333333333333333,0.0,0.08
GMPVZ,0.3,97,16,16,8,13,150,0.6466666666666666,0.10666666666666667,0.10666666666666667,0.05333333333333334,0.08666666666666667
GMPVZ,0.35,64,31,22,17,16,150,0.4266666666666667,0.20666666666666667,0.14666666666666667,0.11333333333333333,0.10666666666666667
GMPVZ,0.4,39,34,30,31,16,150,0.26,0.22666666666666666,0.2,0.20666666666666667,0.10666666666666667
GMPVZ,0.45,29,36,16,55,14,150,0.19333333333333333,0.24,0.10666666666666667,0.36666666666666664,0.09333333333333334
GMPVZ,0.5,14,43,20,59,14,150,0.09333333333333334,0.2866666666666667,0.13333333333333333,0.3933333333333333,0.09333333333333334
GMPVZ,0.55,4,50,19,66,11,150,0.02666666666666667,0.3333333333333333,0.12666666666666668,0.44,0.07333333333333333
GMPVZ,0.6,2,33,20,74,21,150,0.013333333333333334,0.22,0.13333333333333333,0.49333333333333335,0.14
GMPVZ,0.65,1,22,14,95,18,150,0.006666666666666667,0.14666666666666667,0.09333333333333334,0.6333333333333333,0.12
JLRTVX,0.05,170,0,0,0,10,180,0.9444444444444444,0.0,0.0,0.0,0.05555555555555555
JLRTVX,0.1,161,0,3,1,15,180,0.8944444444444445,0.0,0.016666666666666666,0.005555555555555556,0.08333333333333333
JLRTVX,0.15,145,1,10,0,24,180,0.8055555555555556,0.005555555555555556,0.05555555555555555,0.0,0.13333333333333333
JLRTVX,0.2,123,5,21,2,29,180,0.6833333333333333,0.027777777777777776,0.11666666666666667,0.011111111111111112,0.16111111111111112
JLRTVX,0.25,104,8,35,4,29,180,0.5777777777777777,0.044444444444444446,0.19444444444444445,0.022222222222222223,0.16111111111111112
JLRTVX,0.3,78,11,43,14,34,180,0.43333333333333335,0.06111111111111111,0.2388888888888889,0.07777777777777778,0.18888888888888888
JLRTVX,0.35,46,24,55,17,38,180,0.25555555555555554,0.13333333333333333,0.3055555555555556,0.09444444444444444,0.2111111111111111
JLRTVX,0.4,34,27,62,25,32,180,0.18888888888888888,0.15,0.34444444444444444,0.1388888888888889,0.17777777777777778
JLRTVX,0.45,19,40,51,32,38,180,0.10555555555555556,0.2222222222222222,0.2833333333333333,0.17777777777777778,0.2111111111111111
JLRTVX,0.5,12,34,53,50,31,180,0.06666666666666667,0.18888888888888888,0.29444444444444445,0.2777777777777778,0.17222222222222222
JLRTVX,0.55,7,41,50,48,34,180,0.03888888888888889,0.22777777777777777,0.2777777777777778,0.26666666666666666,0.18888888888888888
JLRTVX,0.6,4,32,53,54,37,180,0.022222222222222223,0.17777777777777778,0.29444444444444445,0.3,0.20555555555555555
JLRTVX,0.65,1,24,51,72,32,180,0.005555555555555556,0.13333333333333333,0.2833333333333333,0.4,0.17777777777777778
