group,p,letter,noise,sample_idx,seed,target_idx,motivo,iters,outcome,convergio_a,hamming_input_target,hamming_output_target,hamming_input_output,energia_inicial,energia_final
AL,2,A,0.05,0,1,0,stable,2,TP,A,1,0,1,-9.6,-11.520000000000001
AL,2,A,0.05,1,2,0,stable,1,TP,A,0,0,0,-11.520000000000001,-11.520000000000001
AL,2,A,0.05,2,3,0,stable,2,TP,A,1,0,1,-9.76,-11.520000000000001
AL,2,A,0.05,3,4,0,stable,1,TP,A,0,0,0,-11.520000000000001,-11.520000000000001
AL,2,A,0.05,4,5,0,stable,2,TP,A,2,0,2,-8.32,-11.520000000000001
AL,2,A,0.05,5,6,0,stable,2,TP,A,2,0,2,-7.84,-11.520000000000001
AL,2,A,0.05,6,7,0,stable,2,TP,A,3,0,3,-6.4,-11.520000000000001
AL,2,A,0.05,7,8,0,stable,2,TP,A,1,0,1,-9.76,-11.520000000000001
AL,2,A,0.05,8,9,0,stable,2,TP,A,2,0,2,-7.84,-11.520000000000001
AL,2,A,0.05,9,10,0,stable,1,TP,A,0,0,0,-11.520000000000001,-11.520000000000001
AL,2,A,0.05,10,11,0,stable,2,TP,A,1,0,1,-9.6,-11.520000000000001
AL,2,A,0.05,11,12,0,stable,2,TP,A,1,0,1,-9.76,-11.520000000000001
AL,2,A,0.05,12,13,0,stable,2,TP,A,1,0,1,-9.76,-11.520000000000001
AL,2,A,0.05,13,14,0,stable,1,TP,A,0,0,0,-11.520000000000001,-11.520000000000001
AL,2,A,0.05,14,15,0,stable,2,TP,A,2,0,2,-8.0,-11.520000000000001
AL,2,A,0.05,15,16,0,stable,2,TP,A,2,0,2,-8.32,-11.520000000000001
AL,2,A,0.05,16,17,0,stable,2,TP,A,3,0,3,-6.4,-11.520000000000001
AL,2,A,0.05,17,18,0,stable,2,TP,A,2,0,2,-7.840000000000001,-11.520000000000001
AL,2,A,0.05,18,19,0,stable,2,TP,A,1,0,1,-9.76,-11.520000000000001
AL,2,A,0.05,19,20,0,stable,2,TP,A,1,0,1,-9.76,-11.520000000000001
AL,2,A,0.05,20,21,0,stable,2,TP,A,1,0,1,-9.6,-11.520000000000001
AL,2,A,0.05,21,22,0,stable,1,TP,A,0,0,0,-11.520000000000001,-11.520000000000001
AL,2,A,0.05,22,23,0,stable,2,TP,A,1,0,1,-9.76,-11.520000000000001
AL,2,A,0.05,23,24,0,stable,2,TP,A,2,0,2,-7.84,-11.520000000000001
AL,2,A,0.05,24,25,0,stable,2,TP,A,2,0,2,-7.84,-11.520000000000001
AL,2,A,0.05,25,26,0,stable,1,TP,A,0,0,0,-11.520000000000001,-11.520000000000001
AL,2,A,0.05,26,27,0,stable,2,TP,A,2,0,2,-7.84,-11.520000000000001
AL,2,A,0.05,27,28,0,stable,2,TP,A,2,0,2,-7.999999999999999,-11.520000000000001
AL,2,A,0.05,28,29,0,stable,2,TP,A,3,0,3,-7.2,-11.520000000000001
AL,2,A,0.05,29,30,0,stable,1,TP,A,0,0,0,-11.520000000000001,-11.520000000000001
AL,2,A,0.1,0,1,0,stable,2,TP,A,1,0,1,-9.6,-11.520000000000001
AL,2,A,0.1,1,2,0,stable,2,TP,A,2,0,2,-7.840000000000001,-11.520000000000001
AL,2,A,0.1,2,3,0,stable,2,TP,A,3,0,3,-6.4,-11.520000000000001
AL,2,A,0.1,3,4,0,stable,2,TP,A,1,0,1,-9.6,-11.520000000000001
AL,2,A,0.1,4,5,0,stable,2,TP,A,5,0,5,-3.68,-11.520000000000001
AL,2,A,0.1,5,6,0,stable,2,TP,A,3,0,3,-6.4,-11.520000000000001
AL,2,A,0.1,6,7,0,stable,2,TP,A,3,0,3,-6.4,-11.520000000000001
AL,2,A,0.1,7,8,0,stable,2,TP,A,1,0,1,-9.76,-11.520000000000001
AL,2,A,0.1,8,9,0,stable,2,TP,A,3,0,3,-6.24,-11.520000000000001
AL,2,A,0.1,9,10,0,stable,1,TP,A,0,0,0,-11.520000000000001,-11.520000000000001
AL,2,A,0.1,10,11,0,stable,2,TP,A,2,0,2,-7.84,-11.520000000000001
AL,2,A,0.1,11,12,0,stable,2,TP,A,2,0,2,-8.32,-11.520000000000001
AL,2,A,0.1,12,13,0,stable,2,TP,A,3,0,3,-6.4,-11.520000000000001
AL,2,A,0.1,13,14,0,stable,2,TP,A,1,0,1,-9.6,-11.520000000000001
AL,2,A,0.1,14,15,0,stable,2,TP,A,2,0,2,-8.0,-11.520000000000001
AL,2,A,0.1,15,16,0,stable,2,TP,A,3,0,3,-6.4,-11.520000000000001
AL,2,A,0.1,16,17,0,stable,2,TP,A,4,0,4,-4.800000000000001,-11.520000000000001
AL,2,A,0.1,17,18,0,stable,2,TP,A,3,0,3,-6.24,-11.520000000000001
AL,2,A,0.1,18,19,0,stable,2,TP,A,3,0,3,-6.24,-11.520000000000001
AL,2,A,0.1,19,20,0,stable,2,TP,A,6,0,6,-2.4,-11.520000000000001
AL,2,A,0.1,20,21,0,stable,2,TP,A,2,0,2,-8.0,-11.520000000000001
AL,2,A,0.1,21,22,0,stable,2,TP,A,4,0,4,-4.96,-11.520000000000001
AL,2,A,0.1,22,23,0,stable,2,TP,A,2,0,2,-7.84,-11.520000000000001
AL,2,A,0.1,23,24,0,stable,2,TP,A,4,0,4,-5.279999999999999,-11.520000000000001
AL,2,A,0.1,24,25,0,stable,2,TP,A,2,0,2,-7.84,-11.520000000000001
AL,2,A,0.1,25,26,0,stable,2,TP,A,1,0,1,-9.600000000000001,-11.520000000000001
AL,2,A,0.1,26,27,0,stable,2,TP,A,2,0,2,-7.84,-11.520000000000001
AL,2,A,0.1,27,28,0,stable,2,TP,A,5,0,5,-3.5200000000000005,-11.520000000000001
AL,2,A,0.1,28,29,0,stable,2,TP,A,4,0,4,-5.279999999999999,-11.520000000000001
AL,2,A,0.1,29,30,0,stable,2,TP,A,2,0,2,-8.0,-11.520000000000001
AL,2,A,0.15,0,1,0,stable,2,TP,A,3,0,3,-6.239999999999999,-11.520000000000001
AL,2,A,0.15,1,2,0,stable,2,TP,A,2,0,2,-7.840000000000001,-11.520000000000001
AL,2,A,0.15,2,3,0,stable,2,TP,A,4,0,4,-4.800000000000001,-11.520000000000001
AL,2,A,0.15,3,4,0,stable,2,TP,A,2,0,2,-8.0,-11.520000000000001
AL,2,A,0.15,4,5,0,stable,2,TP,A,5,0,5,-3.68,-11.520000000000001
AL,2,A,0.15,5,6,0,stable,2,TP,A,5,0,5,-3.5200000000000005,-11.520000000000001
AL,2,A,0.15,6,7,0,stable,2,TP,A,3,0,3,-6.4,-11.520000000000001
AL,2,A,0.15,7,8,0,stable,2,TP,A,2,0,2,-8.32,-11.520000000000001
AL,2,A,0.15,8,9,0,stable,2,TP,A,3,0,3,-6.24,-11.520000000000001
AL,2,A,0.15,9,10,0,stable,2,TP,A,4,0,4,-5.28,-11.520000000000001
AL,2,A,0.15,10,11,0,stable,2,TP,A,6,0,6,-2.4000000000000004,-11.520000000000001
AL,2,A,0.15,11,12,0,stable,2,TP,A,4,0,4,-5.28,-11.520000000000001
AL,2,A,0.15,12,13,0,stable,2,TP,A,4,0,4,-5.28,-11.520000000000001
AL,2,A,0.15,13,14,0,stable,2,TP,A,1,0,1,-9.6,-11.520000000000001
AL,2,A,0.15,14,15,0,stable,2,TP,A,3,0,3,-6.24,-11.520000000000001
AL,2,A,0.15,15,16,0,stable,2,TP,A,4,0,4,-5.28,-11.520000000000001
