country,i,j,dist
Austria,2,0,1.5869120805727865
Belgium,2,0,1.1192145599454253
Bulgaria,0,2,2.4796077929275735
Croatia,0,2,2.1321499561877197
Czech Republic,2,2,1.4782818917302083
Denmark,2,0,1.0483158446014136
Estonia,0,2,2.2139350469466206
Finland,1,0,1.2610110556873069
Germany,2,0,1.6818506865331004
Greece,0,2,3.6677671114460932
Hungary,0,2,1.0390428057217986
Iceland,2,0,2.2908104494233883
Ireland,2,0,2.392921620994484
Italy,2,0,1.333209818052119
Latvia,0,2,2.2735680065120056
Lithuania,0,2,1.8097261274609835
Luxembourg,2,0,3.8298294129716317
Netherlands,2,0,1.5717139239756601
Norway,2,0,2.3872162381866926
Poland,0,2,1.226336761630195
Portugal,0,2,1.1466381236846734
Slovakia,0,2,1.2836150295843662
Slovenia,1,2,1.589141146091609
Spain,0,0,3.5816215208008226
Sweden,2,0,1.861926781561635
Switzerland,2,0,3.092649910984953
Ukraine,0,2,5.3910312208599604
United Kingdom,1,0,2.000767136898008
