i,j,Area,GDP,Inflation,Life.expect,Military,Pop.growth,Unemployment
0,0,-0.002301687231707536,-0.5636323787059077,0.40903431293708775,-0.5877250660148261,0.19885837055102945,-0.5015968361633834,0.37928820392504387
0,1,-0.0831808062347145,-0.2901034568481159,0.12606444341415884,-0.288585162373272,0.15281986515792378,-0.2595130334190989,0.22715785749480216
0,2,-0.03847525423244426,-0.15082698100231687,0.033556103018568505,-0.14375254373042462,0.07017848868888632,-0.12944819914781563,0.128284900226255
0,3,-0.027040134446374486,-0.003119146532634843,-0.08534107457744358,0.009427462451145577,-0.01582834794954128,0.008715380703822034,0.01609287841347203
1,0,-0.07306045795684109,-0.2644559486759412,0.1510274380374315,-0.27816871696245027,0.15985623020211573,-0.23094706919780683,0.25022470201851843
1,1,-0.024992015559283393,-0.13540791821961204,0.05349473432360168,-0.11395502208357913,0.09749150608945344,-0.10070685831705048,0.13980364548233706
1,2,-0.005433596625492578,-0.0048339835407253074,-0.03698755758553696,0.018273155901953997,0.02323391296294781,0.005750263610945408,0.03548285980078466
1,3,-0.009102730589608669,0.12090441455388065,-0.12319717464655554,0.1437265804339006,-0.030161616888248352,0.10384933079000855,-0.07034328791205358
2,0,0.0016970036261364507,-0.13595500659059778,0.07441010695262133,-0.09479677697287874,0.13252856409970762,-0.08352273006079307,0.17836945938752105
2,1,0.03259183097130483,0.00012222038350024695,-0.016286691335130107,0.039202996077548576,0.06238776818413715,0.022441005746071878,0.052506508963366096
2,2,0.01713587334404064,0.1269971254803379,-0.10251492667532708,0.1495199884633913,-0.017145518419489466,0.11759703329243373,-0.0766877317755445
2,3,0.028301636727764954,0.26757595495147574,-0.2058702753078719,0.3027649813913597,-0.06548162077986965,0.2437243295837231,-0.1756529558939916
3,0,0.0679249713250163,0.004044400884527044,0.0028374295256982803,0.04829144171766004,0.07226925602405651,0.0719109571770016,0.09207791471112411
3,1,0.06437383787939818,0.13823488720497978,-0.08792046843467201,0.1792944419319867,-0.012105430218070512,0.15756019023310638,-0.03939593273065011
3,2,0.051529934822290485,0.2731833269372189,-0.19002674628902713,0.3135373442831569,-0.07128358207392124,0.2684372778195832,-0.165916770618702
3,3,0.03122615168344907,0.4699630693042975,-0.4021309396667595,0.5574049000496172,-0.0811428487663756,0.45176059288668435,-0.2596269489188921
