K,seed,country,i,j,dist
2,0,Austria,0,1,1.7838427630976954
2,0,Belgium,0,1,1.1822636917198281
2,0,Bulgaria,1,0,2.874413168708081
2,0,Croatia,1,0,2.4386334140225117
2,0,Czech Republic,1,1,1.4834068536003362
2,0,Denmark,0,1,1.2108735735715284
2,0,Estonia,1,0,2.636012777902555
2,0,Finland,0,1,1.2978322441988919
2,0,Germany,0,1,1.7818541394037322
2,0,Greece,1,0,3.825140959084169
2,0,Hungary,1,0,1.4460790014530214
2,0,Iceland,0,1,2.5340254528158344
2,0,Ireland,0,1,2.5952496754273255
2,0,Italy,0,1,1.5153250853051525
2,0,Latvia,1,0,2.644412652510308
2,0,Lithuania,1,0,2.115299961033308
2,0,Luxembourg,0,1,4.17585658261274
2,0,Netherlands,0,1,1.907717626112787
2,0,Norway,0,1,2.7100116209672063
2,0,Poland,1,0,1.5551024461568537
2,0,Portugal,1,0,1.2883813779974613
2,0,Slovakia,1,0,1.4654963715974378
2,0,Slovenia,1,0,1.6165938502188648
2,0,Spain,0,0,3.6459650432791295
2,0,Sweden,0,1,2.054778393996083
2,0,Switzerland,0,1,3.4509801814704426
2,0,Ukraine,1,0,5.666014509508199
2,0,United Kingdom,0,1,2.0417611807734946
2,1,Austria,0,0,1.8187559905869286
2,1,Belgium,0,0,1.2152616367223539
2,1,Bulgaria,1,1,2.839520244920061
2,1,Croatia,1,1,2.4353362238165883
2,1,Czech Republic,0,1,1.4923974450234991
2,1,Denmark,0,0,1.2459106635439947
2,1,Estonia,1,1,2.6014228575748684
2,1,Finland,0,0,1.3041312650068055
2,1,Germany,0,0,1.7910397768473933
2,1,Greece,1,1,3.836476605407971
2,1,Hungary,1,1,1.4048037566261518
2,1,Iceland,0,0,2.549202568920273
2,1,Ireland,0,0,2.5980033332669117
2,1,Italy,0,0,1.5145974293374782
2,1,Latvia,1,1,2.606303781326371
2,1,Lithuania,1,1,2.0890957143341864
2,1,Luxembourg,0,0,4.218904128135201
2,1,Netherlands,0,0,1.9467015122386058
2,1,Norway,0,0,2.7413803519918405
2,1,Poland,1,1,1.5196023379844266
2,1,Portugal,1,1,1.289535362314595
2,1,Slovakia,1,1,1.4433450060462762
2,1,Slovenia,1,1,1.630231531552618
2,1,Spain,0,0,3.626337212103216
