i,j,Area,GDP,Inflation,Life.expect,Military,Pop.growth,Unemployment
0,0,0.08102134235581766,-0.024438337222489052,0.07607916605395121,0.018749959927691243,0.027029460080569927,0.04543385016689917,0.07596506722512412
0,1,0.0742778152844345,0.10485931979035497,-0.054661060829882424,0.1419535110301134,-0.0795143557541785,0.15107261576558392,-0.019123037304361188
0,2,0.06519577563408413,0.26140510881045254,-0.19696206335116503,0.2829560966622681,-0.17138353363556194,0.2669385519890296,-0.14234303655903904
0,3,0.04108510916281343,0.49434799614118213,-0.3981162261443379,0.5323732674256216,-0.38762360962887715,0.528352554948059,-0.25429393041168435
1,0,0.018071033559850683,-0.14675810826837485,0.11682344063132216,-0.11145839441037735,0.07552778973532102,-0.0723870424681385,0.15950689893704373
1,1,0.044695629571167475,-0.02470334300560951,0.00886364936345529,0.01249934102162188,-0.0038740117678134787,0.016146353000311624,0.06634695200338125
1,2,0.010021167438574197,0.0817954839632146,-0.08771464861743254,0.1049514886828293,-0.08476065423533898,0.09792987250800674,-0.02942315554079996
1,3,0.015617696293866603,0.2324702739945874,-0.21551489421428968,0.2509381432688414,-0.1925570639580019,0.229798851906276,-0.1378535978637055
2,0,-0.045002506760958724,-0.30657408402249003,0.1882630447576715,-0.2925460182562331,0.15071308729567426,-0.2381980549705923,0.25011798632450605
2,1,-0.02971056068428429,-0.1667546033047992,0.0767288104186205,-0.14599147000181523,0.05615611320745536,-0.12614743392857705,0.1478872669291777
2,2,-0.030067025872938413,-0.04829315292532482,-0.019563278565920716,-0.03330531202383084,-0.039622213573135,-0.02551273825482329,0.06559343749321296
2,3,-0.02113412761223989,0.08197277107399388,-0.1309505752063227,0.10349292241013394,-0.12701171871253514,0.09532120597674212,-0.02490460426674733
3,0,-0.09056537616473301,-0.6297790860807017,0.33651328377947043,-0.5959393614816837,0.32890665931462726,-0.554355235653625,0.45885005600773676
3,1,-0.07696572680769771,-0.33116801381150773,0.15798745116549168,-0.32378274432842713,0.12004764943896264,-0.2624155084896364,0.27851281888127155
3,2,-0.06936744156679105,-0.19187861768960343,0.04002383199637584,-0.17553630374959,0.017291600611138915,-0.14583407216276392,0.176254365330179
3,3,-0.07408687628959486,-0.07223050573784714,-0.07853571354395329,-0.05488896323514721,-0.07849423171940846,-0.03604512048360266,0.1067727812561274
