eta_inicial,grilla,seed,qe,dead_n,dead_frac
0.1,rectangular,0,1.8288222336694682,1,0.1111111111111111
0.1,rectangular,1,1.8343646252190824,2,0.2222222222222222
0.1,rectangular,2,1.8112770701378065,0,0.0
0.1,rectangular,3,1.8429639859046258,1,0.1111111111111111
0.1,rectangular,4,1.8329110603319128,1,0.1111111111111111
0.1,rectangular,5,1.836189228237842,0,0.0
0.1,rectangular,6,1.804316201628781,1,0.1111111111111111
0.1,rectangular,7,1.8132597575985205,0,0.0
0.1,rectangular,8,1.796882654038966,0,0.0
0.1,rectangular,9,1.7624505452224561,0,0.0
0.1,hexagonal,0,1.8360693947605828,0,0.0
0.1,hexagonal,1,1.8392391032722917,2,0.2222222222222222
0.1,hexagonal,2,1.8175850153327757,0,0.0
0.1,hexagonal,3,1.849483259570955,1,0.1111111111111111
0.1,hexagonal,4,1.8472195426063032,1,0.1111111111111111
0.1,hexagonal,5,1.8198116786446705,1,0.1111111111111111
0.1,hexagonal,6,1.8161369618569776,1,0.1111111111111111
0.1,hexagonal,7,1.8180409524678705,0,0.0
0.1,hexagonal,8,1.8118025946255576,0,0.0
0.1,hexagonal,9,1.766605315080178,0,0.0
0.3,rectangular,0,2.2493152272362904,2,0.2222222222222222
0.3,rectangular,1,2.1761625031057164,3,0.3333333333333333
0.3,rectangular,2,2.2179888758695987,3,0.3333333333333333
0.3,rectangular,3,2.2459699585182147,2,0.2222222222222222
0.3,rectangular,4,2.208758080572222,2,0.2222222222222222
0.3,rectangular,5,2.2280896557413916,3,0.3333333333333333
0.3,rectangular,6,2.1821330075864447,3,0.3333333333333333
0.3,rectangular,7,2.2382150017609153,3,0.3333333333333333
0.3,rectangular,8,2.1456691595887163,3,0.3333333333333333
0.3,rectangular,9,2.1869713431142306,2,0.2222222222222222
0.3,hexagonal,0,2.233330733298926,3,0.3333333333333333
0.3,hexagonal,1,2.227562562993147,3,0.3333333333333333
0.3,hexagonal,2,2.264640056940655,3,0.3333333333333333
0.3,hexagonal,3,2.2684762733878174,3,0.3333333333333333
0.3,hexagonal,4,2.252867228039937,3,0.3333333333333333
0.3,hexagonal,5,2.178763967913824,3,0.3333333333333333
0.3,hexagonal,6,2.217254817265483,1,0.1111111111111111
0.3,hexagonal,7,2.27546009229756,3,0.3333333333333333
0.3,hexagonal,8,2.204110807175839,3,0.3333333333333333
0.3,hexagonal,9,2.240476757456523,3,0.3333333333333333
