country,i,j,dist
Austria,2,1,1.13627131650239
Belgium,2,1,0.7037004249395427
Bulgaria,2,0,1.9357680287510541
Croatia,2,0,2.2271781304032965
Czech Republic,2,2,0.8338461661090867
Denmark,0,1,0.6693506610028362
Estonia,2,0,1.9370914292479866
Finland,1,0,0.8389651319203375
Germany,1,1,1.1455681659793069
Greece,2,0,3.62384919039355
Hungary,0,2,0.8733839275070828
Iceland,2,1,2.217917371334313
Ireland,0,0,2.323344895655318
Italy,1,0,1.2961607012642962
Latvia,0,2,1.7830183107530146
Lithuania,0,2,1.4380696733060967
Luxembourg,0,1,3.78538326227196
Netherlands,0,1,1.2043998446771356
Norway,1,1,2.3165935802605366
Poland,2,0,1.4215413551937721
Portugal,2,0,1.3782753710353528
Slovakia,0,2,1.0018701841451512
Slovenia,2,2,1.2452076956919231
Spain,0,0,2.293555091993966
Sweden,1,1,1.6182935518501713
Switzerland,0,1,2.839656586731596
Ukraine,0,2,5.262756070786618
United Kingdom,1,0,1.8560064230374231
