K,seed,qe,dead_n,dead_frac
3,0,1.8288222336694682,1,0.1111111111111111
3,1,1.8343646252190824,2,0.2222222222222222
3,2,1.8112770701378065,0,0.0
3,3,1.8429639859046258,1,0.1111111111111111
3,4,1.8329110603319128,1,0.1111111111111111
3,5,1.836189228237842,0,0.0
3,6,1.804316201628781,1,0.1111111111111111
3,7,1.8132597575985205,0,0.0
3,8,1.796882654038966,0,0.0
3,9,1.7624505452224561,0,0.0
5,0,1.534862235414132,8,0.32
5,1,1.629902341596688,7,0.28
5,2,1.5975297311625354,9,0.36
5,3,1.6264697130954509,7,0.28
5,4,1.517231414325863,6,0.24
5,5,1.6713712407679344,9,0.36
5,6,1.50197547656579,9,0.36
5,7,1.5515971206648331,7,0.28
5,8,1.5627728763220645,7,0.28
5,9,1.632015309549795,10,0.4
