K,seed,country,i,j,dist
3,0,Austria,2,1,1.13627131650239
3,0,Belgium,2,1,0.7037004249395427
3,0,Bulgaria,2,0,1.9357680287510541
3,0,Croatia,2,0,2.2271781304032965
3,0,Czech Republic,2,2,0.8338461661090867
3,0,Denmark,0,1,0.6693506610028362
3,0,Estonia,2,0,1.9370914292479866
3,0,Finland,1,0,0.8389651319203375
3,0,Germany,1,1,1.1455681659793069
3,0,Greece,2,0,3.62384919039355
3,0,Hungary,0,2,0.8733839275070828
3,0,Iceland,2,1,2.217917371334313
3,0,Ireland,0,0,2.323344895655318
3,0,Italy,1,0,1.2961607012642962
3,0,Latvia,0,2,1.7830183107530146
3,0,Lithuania,0,2,1.4380696733060967
3,0,Luxembourg,0,1,3.78538326227196
3,0,Netherlands,0,1,1.2043998446771356
3,0,Norway,1,1,2.3165935802605366
3,0,Poland,2,0,1.4215413551937721
3,0,Portugal,2,0,1.3782753710353528
3,0,Slovakia,0,2,1.0018701841451512
3,0,Slovenia,2,2,1.2452076956919231
3,0,Spain,0,0,2.293555091993966
3,0,Sweden,1,1,1.6182935518501713
3,0,Switzerland,0,1,2.839656586731596
3,0,Ukraine,0,2,5.262756070786618
3,0,United Kingdom,1,0,1.8560064230374231
3,1,Austria,1,1,1.1739998158593172
3,1,Belgium,1,1,0.808907855266232
3,1,Bulgaria,2,2,2.1701122545968925
3,1,Croatia,2,2,2.255953339676322
3,1,Czech Republic,1,2,0.9476911349924175
3,1,Denmark,1,1,0.9174109801203805
3,1,Estonia,2,2,1.7950519160559353
3,1,Finland,0,0,0.9741924004782648
3,1,Germany,0,0,1.4541743571510972
3,1,Greece,2,2,3.8093343837715805
3,1,Hungary,2,2,0.7920553684038855
3,1,Iceland,1,1,2.165927288682789
3,1,Ireland,2,0,2.397902453168184
3,1,Italy,0,0,0.8261912069251995
3,1,Latvia,0,1,1.8939506876272973
3,1,Lithuania,0,1,1.4866450595147382
3,1,Luxembourg,1,1,3.954465621969635
3,1,Netherlands,1,1,1.6726949674485359
3,1,Norway,0,0,2.4100743830375437
3,1,Poland,2,1,1.1942311819221472
3,1,Portugal,2,2,1.3723050486804744
3,1,Slovakia,0,1,1.0597674019441392
3,1,Slovenia,1,2,1.3371046470722083
3,1,Spain,2,0,2.175403248697479
3,1,Sweden,0,0,1.5115828975628456
3,1,Switzerland,1,1,3.253148141121167
3,1,Ukraine,2,1,3.6705998875797325
3,1,United Kingdom,0,0,1.881331576807864
3,2,Austria,1,1,1.3478572884577726
3,2,Belgium,1,1,1.0464413525920655
3,2,Bulgaria,2,1,2.035090121147333
3,2,Croatia,0,2,1.6513580497916212
3,2,Czech Republic,1,2,1.135778702991928
3,2,Denmark,1,1,1.1107198369023852
3,2,Estonia,2,1,1.9526813194729662
3,2,Finland,0,1,0.8523820919270266
3,2,Germany,1,0,1.1646772243096217
3,2,Greece,2,2,2.454695154728764
3,2,Hungary,2,1,0.912335988277859
3,2,Iceland,1,1,1.611725294495251
3,2,Ireland,2,0,1.584382065110792
3,2,Italy,0,1,1.2969484783452783
3,2,Latvia,2,1,2.2099874992726556
3,2,Lithuania,0,2,2.00300165700904
3,2,Luxembourg,2,0,3.6032813085747333
3,2,Netherlands,1,1,1.786428568434815
3,2,Norway,1,0,2.2673441265679437
3,2,Poland,2,1,1.4104299673968907
3,2,Portugal,2,2,0.8216350050149681
3,2,Slovakia,0,2,1.4385281627625475
3,2,Slovenia,1,2,1.0897938636307243
3,2,Spain,0,0,2.2697771912780134
3,2,Sweden,1,0,1.5599901395979676
3,2,Switzerland,2,0,3.072798357148344
3,2,Ukraine,2,1,5.287784302166239
3,2,United Kingdom,2,2,1.7379048464530322
3,3,Austria,2,2,1.5302240203939987
3,3,Belgium,2,2,0.7957148370496093
3,3,Bulgaria,0,1,1.7268444052718945
3,3,Croatia,0,0,2.0388585250243687
3,3,Czech Republic,1,2,1.1295719735820027
3,3,Denmark,0,2,0.8828382847917744
3,3,Estonia,1,0,1.694227833199117
3,3,Finland,2,0,0.6704067727526549
3,3,Germany,2,0,1.2495722283588067
3,3,Greece,0,1,3.547314481856016
3,3,Hungary,1,0,0.7209271287379662
3,3,Iceland,2,1,2.1991967840666904
3,3,Ireland,2,1,2.2020877649431503
3,3,Italy,2,0,1.1013572904487365
3,3,Latvia,1,0,1.931801556642132
3,3,Lithuania,1,0,1.7166873613112437
3,3,Luxembourg,2,1,2.79435081545739
3,3,Netherlands,2,1,1.5233066468460186
3,3,Norway,2,0,2.3911467015147783
3,3,Poland,1,0,1.329445590808413
3,3,Portugal,0,0,1.2692030467649407
3,3,Slovakia,1,0,1.3518005850228318
3,3,Slovenia,0,0,0.9968755125378
3,3,Spain,2,0,3.4104400387516387
3,3,Sweden,2,0,1.3782127584918444
3,3,Switzerland,2,1,2.955925433888717
3,3,Ukraine,0,1,5.163453273252542
3,3,United Kingdom,2,0,1.9011999535624464
3,4,Austria,0,2,1.882316960849013
3,4,Belgium,2,2,1.4619733316488626
3,4,Bulgaria,2,1,1.9192869227571019
3,4,Croatia,0,0,2.2022251107867703
3,4,Czech Republic,1,0,1.535643090341048
3,4,Denmark,2,2,1.3478065252917588
3,4,Estonia,1,0,1.8873114486066747
3,4,Finland,0,2,0.7045944880182177
3,4,Germany,0,2,1.1764515646933364
3,4,Greece,0,0,3.397466534314683
3,4,Hungary,1,0,0.7350951645743781
3,4,Iceland,2,2,2.1234548999456213
3,4,Ireland,2,2,1.6285466362780519
