country,i,j,dist
Austria,2,0,1.2691474796755386
Belgium,0,8,1.0143890484651827
Bulgaria,19,19,2.1640038181747605
Croatia,19,17,1.5986512743945407
Czech Republic,19,1,1.3940428478493068
Denmark,7,0,0.8459002523757502
Estonia,19,19,1.6863216853828769
Finland,0,3,1.0817527033215628
Germany,1,0,1.3338188107425177
Greece,16,19,3.468115500866696
Hungary,19,19,0.7328528672391682
Iceland,3,0,2.1517419503878688
Ireland,16,0,2.410597923765265
Italy,1,2,1.1868079289763935
Latvia,19,19,1.790832685933615
Lithuania,17,18,1.3396202207212644
Luxembourg,7,0,3.645741263625304
Netherlands,7,0,1.213801773004474
Norway,1,0,2.0172372427864507
Poland,17,19,1.1239353159737746
Portugal,19,14,0.9793808028960931
Slovakia,17,18,0.9921453605408427
Slovenia,19,10,1.3727591474712142
Spain,15,19,3.4350516938369116
Sweden,1,2,1.5979792425194084
Switzerland,7,0,2.712175135172675
Ukraine,19,19,5.204037331572718
United Kingdom,1,5,1.9800707844935967
