K,seed,qe,dead_n,dead_frac
5,0,1.9168047949639941,16,0.64
5,1,1.9855091710039734,15,0.6
5,2,1.9292647910432368,14,0.56
5,3,1.9376227105285313,14,0.56
5,4,1.926275872773959,15,0.6
8,0,1.933961762145678,51,0.796875
8,1,1.85886266525239,51,0.796875
8,2,1.9676609558622853,51,0.796875
8,3,1.8684307976479564,50,0.78125
8,4,1.8717744720292948,50,0.78125
15,0,1.831488015066668,208,0.9244444444444444
15,1,1.848286887659386,206,0.9155555555555556
15,2,1.8530890441907872,208,0.9244444444444444
15,3,1.8409199579691689,210,0.9333333333333333
15,4,1.8007632307357329,206,0.9155555555555556
20,0,1.977797690613786,379,0.9475
20,1,1.8479611461487777,382,0.955
20,2,1.7846810980586807,380,0.95
20,3,1.7781060870427898,382,0.955
20,4,1.9193899633860294,384,0.96
