country,i,j,dist
Austria,6,7,1.4104906971051214
Belgium,4,7,0.9932338282857389
Bulgaria,0,1,1.9059152661891425
Croatia,1,0,2.0294447841622785
Czech Republic,1,7,1.2902473929356957
Denmark,6,7,0.8613520632532333
Estonia,0,1,1.6522229129738248
Finland,7,1,1.1971128570648344
Germany,7,4,1.6459087504412224
Greece,1,0,3.5724973602050523
Hungary,0,3,0.7163747216901618
Iceland,7,6,2.1443650968788837
Ireland,7,6,2.2596971112966235
Italy,7,4,1.3483248155887644
Latvia,0,1,1.8547831395064958
Lithuania,0,3,1.616132177073676
Luxembourg,7,7,3.506893483057093
Netherlands,7,7,1.0878557700807012
Norway,7,7,2.0559201975444057
Poland,0,1,0.7887451843346851
Portugal,4,0,1.1297120040317208
Slovakia,0,4,1.2375665124236699
Slovenia,0,7,1.5123212176910936
Spain,7,0,3.542802243928806
Sweden,7,4,1.8651458421051923
Switzerland,7,7,2.5702314125548797
Ukraine,0,1,4.722012965757077
United Kingdom,7,1,1.892375408660178
