K,seed,country,i,j,dist
5,0,Austria,0,4,1.446967200651001
5,0,Belgium,1,4,1.0291638109954993
5,0,Bulgaria,4,0,2.1461071134044754
5,0,Croatia,4,1,1.924962976078635
5,0,Czech Republic,4,4,1.362082028603602
5,0,Denmark,1,4,0.9556953914865148
5,0,Estonia,4,1,1.8010544809257822
5,0,Finland,0,1,1.2316125092954713
5,0,Germany,0,4,1.5536771465691537
5,0,Greece,3,0,3.5759735690265315
5,0,Hungary,4,1,0.6784553341355508
5,0,Iceland,0,4,2.1021719100751084
5,0,Ireland,0,4,2.3894355787670016
5,0,Italy,0,4,1.270116464276377
5,0,Latvia,4,1,1.8924058586636299
5,0,Lithuania,4,1,1.5077882536711216
5,0,Luxembourg,0,4,3.555003412914798
5,0,Netherlands,0,4,1.3944482144972585
5,0,Norway,0,4,2.0535680627950614
5,0,Poland,4,0,1.018171184454337
5,0,Portugal,3,0,1.1430132976284926
5,0,Slovakia,4,1,1.1619205025482866
5,0,Slovenia,4,3,1.5451242965813028
5,0,Spain,0,0,3.441161183469346
5,0,Sweden,0,4,1.623006662175053
5,0,Switzerland,0,4,2.80813216379489
5,0,Ukraine,4,0,5.100040078899022
5,0,United Kingdom,0,1,1.9592755726085416
5,1,Austria,4,2,1.7475650645494534
5,1,Belgium,4,3,1.1464711379774517
5,1,Bulgaria,0,3,2.176105852007707
5,1,Croatia,0,3,2.117502931754116
5,1,Czech Republic,3,4,1.3945216336237998
5,1,Denmark,4,2,1.1611653344208692
5,1,Estonia,0,3,1.8604232598554264
5,1,Finland,3,0,1.2370995421156286
5,1,Germany,4,1,1.746588269497911
5,1,Greece,0,0,3.65134291713669
5,1,Hungary,0,3,0.6555750047426054
5,1,Iceland,4,0,2.39691866085778
5,1,Ireland,4,0,2.1721617535083446
5,1,Italy,4,0,1.0836988516280313
5,1,Latvia,0,3,1.8831833780733926
5,1,Lithuania,0,3,1.558188731917824
5,1,Luxembourg,4,0,3.6993310485780033
5,1,Netherlands,4,0,1.5074560465751436
5,1,Norway,4,0,2.1836075488479176
5,1,Poland,0,3,1.2401559417535903
5,1,Portugal,0,0,1.1363481128670476
5,1,Slovakia,0,4,1.1097879303526978
5,1,Slovenia,2,4,1.5233962493706088
5,1,Spain,4,0,3.4680353647878244
5,1,Sweden,4,0,1.7362872279566042
5,1,Switzerland,4,0,2.918746290460468
5,1,Ukraine,0,3,5.191518750837642
5,1,United Kingdom,4,0,1.891073952056671
5,2,Austria,1,4,1.502169144552568
5,2,Belgium,2,4,1.0679385332098577
5,2,Bulgaria,4,0,2.070694989717653
5,2,Croatia,4,0,2.0136400939757335
5,2,Czech Republic,3,4,1.4296240260050148
5,2,Denmark,1,4,0.9899991982047633
5,2,Estonia,4,0,1.7852007382305464
5,2,Finland,0,1,1.2052894252661734
5,2,Germany,0,3,1.6742775043367961
5,2,Greece,4,0,3.6452188959505105
5,2,Hungary,4,0,0.7879715206382509
5,2,Iceland,0,4,2.10480664969239
5,2,Ireland,1,4,2.2349576358409697
5,2,Italy,0,3,1.2610152905004242
5,2,Latvia,4,0,1.900625262344899
5,2,Lithuania,4,0,1.6043264145868619
5,2,Luxembourg,0,4,3.548342356873631
5,2,Netherlands,1,4,1.3489106394383434
5,2,Norway,0,4,2.158725722459592
5,2,Poland,4,0,0.8404562967647528
5,2,Portugal,2,0,1.1583804011862686
5,2,Slovakia,4,1,1.1980780210071476
5,2,Slovenia,4,3,1.57105980024936
5,2,Spain,0,0,3.4722746702563283
5,2,Sweden,0,4,1.7764392918736005
5,2,Switzerland,0,4,2.782120652880973
5,2,Ukraine,4,0,4.938693269252871
5,2,United Kingdom,0,1,1.948177703914346
5,3,Austria,4,4,1.4342325761394454
5,3,Belgium,4,3,1.0402666707611479
5,3,Bulgaria,0,1,2.163111353666167
5,3,Croatia,1,0,2.0419441240114
5,3,Czech Republic,4,1,1.3865750376817834
5,3,Denmark,4,3,0.9636262232284613
5,3,Estonia,1,0,1.921059441973703
5,3,Finland,1,4,1.19062600033736
5,3,Germany,3,4,1.6586175044779912
5,3,Greece,0,1,3.5842401650693154
5,3,Hungary,1,0,0.8133961165763046
5,3,Iceland,4,4,2.0711748177260403
5,3,Ireland,4,4,2.2664500700927785
5,3,Italy,3,4,1.4016852910410997
5,3,Latvia,1,0,2.041435845601063
5,3,Lithuania,1,0,1.7032963680823932
5,3,Luxembourg,4,4,3.3807192849699033
5,3,Netherlands,4,4,1.1768899744818568
5,3,Norway,4,4,2.0026189389853526
5,3,Poland,0,1,0.9371223413219807
5,3,Portugal,0,2,1.1835511807661339
5,3,Slovakia,2,0,1.3361580439627743
5,3,Slovenia,3,0,1.5448705537454657
5,3,Spain,0,4,3.588115778591819
5,3,Sweden,4,4,1.8306050578514999
5,3,Switzerland,4,4,2.5629639730618727
5,3,Ukraine,0,1,5.0883260496817
5,3,United Kingdom,0,4,1.9397571109120755
5,4,Austria,4,4,1.419660638244494
5,4,Belgium,3,4,1.0007434660878722
5,4,Bulgaria,0,1,2.1138829765103195
5,4,Croatia,0,0,2.0857602218864844
5,4,Czech Republic,1,4,1.3381280318566129
5,4,Denmark,4,4,0.7788152444484282
5,4,Estonia,0,1,1.8945778101377246
5,4,Finland,4,0,1.0519947604808315
5,4,Germany,4,1,1.678733864416668
5,4,Greece,1,0,3.4473460583487374
5,4,Hungary,0,1,0.9091758799099482
5,4,Iceland,4,4,2.1316409408377424
5,4,Ireland,4,4,2.2546778667825573
5,4,Italy,4,1,1.2908809004428825
5,4,Latvia,0,1,2.088036511364757
5,4,Lithuania,0,4,1.762156712571858
5,4,Luxembourg,4,4,3.6338913561459787
5,4,Netherlands,4,4,1.3074328306921876
5,4,Norway,4,4,2.3342042077497873
5,4,Poland,0,1,0.7648459257695327
5,4,Portugal,2,0,1.14458229340312
5,4,Slovakia,0,4,1.1316662083479823
5,4,Slovenia,1,4,1.5557543964130278
5,4,Spain,4,0,3.5006999500928813
5,4,Sweden,4,1,1.8663408663686085
5,4,Switzerland,4,4,2.7659895483582644
5,4,Ukraine,0,1,4.922338866172992
5,4,United Kingdom,4,0,1.7617661038285697
8,0,Austria,7,2,1.4948201541127855
8,0,Belgium,7,4,1.024587780854008
8,0,Bulgaria,0,6,2.131061414309348
8,0,Croatia,1,7,1.9574600158929591
8,0,Czech Republic,6,6,1.4122310430382905
8,0,Denmark,7,3,0.9652418765775153
8,0,Estonia,0,6,1.802545955659355
8,0,Finland,2,0,1.21171559411018
8,0,Germany,7,2,1.6115302181791247
8,0,Greece,1,6,3.605000025804636
8,0,Hungary,0,6,0.7127563961385024
8,0,Iceland,7,0,2.173970819036173
8,0,Ireland,6,0,2.3012891433626548
8,0,Italy,6,0,1.2406712595644807
8,0,Latvia,0,6,1.916742359109769
8,0,Lithuania,0,7,1.559386696000842
8,0,Luxembourg,6,0,3.5642829490895616
8,0,Netherlands,7,0,1.370882000028974
8,0,Norway,6,0,2.0940937293273065
8,0,Poland,0,6,1.0741317126154093
8,0,Portugal,1,6,1.1349723366715398
8,0,Slovakia,0,7,1.1970814952904025
8,0,Slovenia,5,7,1.5678910884769255
8,0,Spain,0,0,3.4191077973134774
8,0,Sweden,6,0,1.689332665632189
8,0,Switzerland,7,0,2.8282229593518653
8,0,Ukraine,0,6,5.14152542166431
8,0,United Kingdom,2,0,1.9483944328663991
8,1,Austria,3,0,1.451137305515483
8,1,Belgium,6,0,0.9284287846789863
8,1,Bulgaria,7,7,2.219504223733041
8,1,Croatia,7,7,1.8842349156918847
8,1,Czech Republic,7,1,1.2886161414719
8,1,Denmark,5,0,0.8519545978035987
8,1,Estonia,7,7,1.8060026998774676
8,1,Finland,0,6,1.169645903409568
8,1,Germany,0,3,1.6261326735474306
8,1,Greece,5,7,3.640262635896366
8,1,Hungary,7,7,0.6860299948872263
8,1,Iceland,0,1,2.0330261584954963
8,1,Ireland,0,0,2.1462579087535456
8,1,Italy,0,3,1.1933930124540792
8,1,Latvia,7,7,1.8237240608140775
8,1,Lithuania,7,7,1.3683381414702256
8,1,Luxembourg,2,0,3.396458309516255
8,1,Netherlands,2,0,1.1932762111779582
8,1,Norway,2,0,2.036289961300429
8,1,Poland,6,7,1.0153088043921459
8,1,Portugal,5,7,1.1353809700552384
8,1,Slovakia,7,7,1.0387026689866579
8,1,Slovenia,7,2,1.4875979198092344
8,1,Spain,0,6,3.391908725395458
8,1,Sweden,0,3,1.610558351863375
8,1,Switzerland,2,0,2.552773266579676
8,1,Ukraine,6,7,5.173113141181373
8,1,United Kingdom,0,6,1.900097138308736
8,2,Austria,0,7,1.642551879776743
8,2,Belgium,0,7,1.0425359404130843
8,2,Bulgaria,7,4,2.2437942406119076
8,2,Croatia,7,3,2.204016928583007
8,2,Czech Republic,2,7,1.382664402653851
8,2,Denmark,0,7,1.0761214875810017
8,2,Estonia,7,4,1.8903336534777384
8,2,Finland,1,0,1.0265997268669584
8,2,Germany,0,1,1.648392253033829
8,2,Greece,5,0,3.6536930866749473
8,2,Hungary,7,4,0.6969780817155268
8,2,Iceland,0,6,2.3716101046285694
8,2,Ireland,0,0,2.238083496658316
8,2,Italy,0,0,1.004002968350593
8,2,Latvia,7,7,1.8809861776081525
8,2,Lithuania,7,6,1.5274337935705429
8,2,Luxembourg,0,0,3.856448141985289
8,2,Netherlands,0,6,1.7569689727471558
8,2,Norway,0,0,2.2411712305509206
8,2,Poland,7,3,1.2566595797430529
8,2,Portugal,7,0,1.1603390990277918
8,2,Slovakia,7,6,0.9432813384119079
8,2,Slovenia,4,7,1.5690312669456876
8,2,Spain,0,0,3.1712769876492133
8,2,Sweden,0,0,1.547935375834065
8,2,Switzerland,0,0,3.1776091989034145
8,2,Ukraine,7,4,5.149331214192979
8,2,United Kingdom,1,0,1.734656135947746
8,3,Austria,7,1,1.28444976051574
8,3,Belgium,7,2,0.9479309123218284
8,3,Bulgaria,2,7,2.0135775629419377
8,3,Croatia,1,7,2.005364972239358
8,3,Czech Republic,7,5,1.3856433952895924
8,3,Denmark,7,1,0.7977623192983703
8,3,Estonia,2,7,1.7189837806119048
8,3,Finland,0,0,1.1547361107560914
8,3,Germany,5,0,1.6085788603487012
8,3,Greece,0,5,3.5650207364452315
8,3,Hungary,2,7,0.6550957257525009
8,3,Iceland,7,1,2.15672277559595
8,3,Ireland,7,0,2.3735420266995915
8,3,Italy,2,0,1.3431276385167035
8,3,Latvia,2,7,1.8330237626562178
8,3,Lithuania,2,7,1.568868872004853
8,3,Luxembourg,7,0,3.3983886611738954
8,3,Netherlands,7,0,0.9698888895122272
8,3,Norway,7,0,1.927549237778299
8,3,Poland,0,6,0.8752655491232143
8,3,Portugal,0,3,1.1361421194310644
8,3,Slovakia,2,7,1.3113888624609753
8,3,Slovenia,5,6,1.581897244514452
8,3,Spain,0,0,3.5273468153311947
8,3,Sweden,5,0,1.8419749326711852
8,3,Switzerland,7,0,2.4361397833236436
8,3,Ukraine,3,7,4.986820796193307
8,3,United Kingdom,0,0,1.9108302306347467
8,4,Austria,6,7,1.4104906971051214
8,4,Belgium,4,7,0.9932338282857389
8,4,Bulgaria,0,1,1.9059152661891425
8,4,Croatia,1,0,2.0294447841622785
8,4,Czech Republic,1,7,1.2902473929356957
8,4,Denmark,6,7,0.8613520632532333
8,4,Estonia,0,1,1.6522229129738248
8,4,Finland,7,1,1.1971128570648344
8,4,Germany,7,4,1.6459087504412224
8,4,Greece,1,0,3.5724973602050523
8,4,Hungary,0,3,0.7163747216901618
8,4,Iceland,7,6,2.1443650968788837
8,4,Ireland,7,6,2.2596971112966235
8,4,Italy,7,4,1.3483248155887644
8,4,Latvia,0,1,1.8547831395064958
8,4,Lithuania,0,3,1.616132177073676
8,4,Luxembourg,7,7,3.506893483057093
8,4,Netherlands,7,7,1.0878557700807012
8,4,Norway,7,7,2.0559201975444057
8,4,Poland,0,1,0.7887451843346851
8,4,Portugal,4,0,1.1297120040317208
8,4,Slovakia,0,4,1.2375665124236699
8,4,Slovenia,0,7,1.5123212176910936
8,4,Spain,7,0,3.542802243928806
8,4,Sweden,7,4,1.8651458421051923
8,4,Switzerland,7,7,2.5702314125548797
8,4,Ukraine,0,1,4.722012965757077
8,4,United Kingdom,7,1,1.892375408660178
15,0,Austria,14,13,1.2409226186470894
15,0,Belgium,13,10,0.940748711010375
15,0,Bulgaria,0,6,1.9487802261643528
15,0,Croatia,1,0,1.7283091668573856
15,0,Czech Republic,14,1,1.3990222476633767
15,0,Denmark,14,10,0.8217209458618777
15,0,Estonia,0,6,1.6449706968518183
15,0,Finland,6,12,1.2813095285943594
15,0,Germany,13,14,1.6108239407693734
15,0,Greece,1,0,3.358468538935303
15,0,Hungary,0,6,0.7149147660904208
15,0,Iceland,14,13,2.043513030390681
15,0,Ireland,14,14,2.3684293101721634
15,0,Italy,13,14,1.3791847698162019
15,0,Latvia,1,4,1.765991158182338
15,0,Lithuania,1,3,1.4558011236301829
15,0,Luxembourg,14,14,3.3777881086573216
15,0,Netherlands,14,14,1.0514213715719931
15,0,Norway,14,14,1.9568285957242317
15,0,Poland,2,0,0.7870026472839347
15,0,Portugal,0,1,1.0739646470583264
15,0,Slovakia,8,0,1.2207079822104274
15,0,Slovenia,13,0,1.5617818094858151
15,0,Spain,0,0,3.4655418545379977
15,0,Sweden,13,14,1.767734722524391
15,0,Switzerland,14,14,2.463997993591953
15,0,Ukraine,1,4,4.827424994379444
15,0,United Kingdom,5,12,2.0245589152035692
15,1,Austria,0,8,1.4867385728839664
15,1,Belgium,0,4,1.0749351048877198
15,1,Bulgaria,14,1,1.9227633556524781
15,1,Croatia,14,1,1.7135846991262544
15,1,Czech Republic,2,0,1.3863799616408448
15,1,Denmark,0,5,1.0046194090184875
15,1,Estonia,14,3,1.5882876662106973
15,1,Finland,5,12,1.2678953988646426
15,1,Germany,0,9,1.6242160297275716
15,1,Greece,14,1,3.4507575289397554
15,1,Hungary,13,2,0.44500028389284835
15,1,Iceland,0,11,2.010355108708664
15,1,Ireland,0,13,2.1289583879399165
15,1,Italy,2,14,1.214654363486251
15,1,Latvia,14,3,1.6385840387499542
15,1,Lithuania,14,3,1.3674611100099399
15,1,Luxembourg,0,11,3.3680203298670244
15,1,Netherlands,1,12,1.2832212893114907
15,1,Norway,1,14,1.9376563846647152
15,1,Poland,12,1,1.1599811030951073
15,1,Portugal,13,4,1.1548228290907727
15,1,Slovakia,14,6,1.12902161377182
15,1,Slovenia,9,0,1.4821742117717793
15,1,Spain,0,13,3.540643261642547
15,1,Sweden,1,14,1.6290567716476234
15,1,Switzerland,0,11,2.6206162980391747
15,1,Ukraine,13,2,5.127043922243032
15,1,United Kingdom,5,13,1.9945838195777281
15,2,Austria,14,13,1.3293729864200805
15,2,Belgium,7,14,0.9888765225697388
15,2,Bulgaria,4,0,2.2003338254029723
15,2,Croatia,0,2,1.7964514868430252
15,2,Czech Republic,14,2,1.3503476344023586
15,2,Denmark,14,14,0.8193458427127426
15,2,Estonia,4,0,1.8581665936630032
15,2,Finland,6,12,1.2907837659688643
15,2,Germany,14,14,1.5949148790757715
15,2,Greece,0,2,3.4398329808852015
15,2,Hungary,4,0,0.8276089616005429
15,2,Iceland,14,11,2.109961603288711
15,2,Ireland,14,12,2.256194895678745
15,2,Italy,14,12,1.292661181274183
15,2,Latvia,4,0,1.9551899503773815
15,2,Lithuania,1,1,1.5577786706756247
15,2,Luxembourg,13,14,3.3724112125622803
15,2,Netherlands,13,14,0.9380907597198394
15,2,Norway,13,14,1.8728825053971236
15,2,Poland,2,2,0.8621962071597437
15,2,Portugal,0,8,0.9880475668859932
15,2,Slovakia,5,0,1.1726714948186443
15,2,Slovenia,11,0,1.5234629199318146
15,2,Spain,0,0,3.484416971552725
15,2,Sweden,14,12,1.730096136187986
15,2,Switzerland,13,14,2.3224595331633275
15,2,Ukraine,4,0,4.996916635152217
15,2,United Kingdom,1,14,1.9550195139714053
15,3,Austria,14,4,1.3247521789794086
15,3,Belgium,14,4,0.9515393733972003
15,3,Bulgaria,2,14,1.8066478915633528
15,3,Croatia,0,10,1.6973416666638743
15,3,Czech Republic,14,11,1.407868100945262
15,3,Denmark,14,3,0.8071698973993537
15,3,Estonia,2,14,1.646835757856638
15,3,Finland,7,2,1.228117322023824
15,3,Germany,12,0,1.612813883755684
15,3,Greece,0,10,2.791971971828763
15,3,Hungary,7,14,0.847720984137599
15,3,Iceland,14,4,2.0832653876902394
15,3,Ireland,14,0,2.299267130356152
15,3,Italy,8,0,1.2901766333916975
15,3,Latvia,7,14,2.062518306844973
15,3,Lithuania,7,14,1.698298138291442
15,3,Luxembourg,14,0,3.499340469976883
15,3,Netherlands,14,0,1.1587126561454872
15,3,Norway,14,0,2.100792338389804
15,3,Poland,2,10,0.820713945539788
15,3,Portugal,0,11,0.9444231403296804
15,3,Slovakia,10,14,1.3010917406789813
15,3,Slovenia,0,0,1.6161198011674205
15,3,Spain,0,0,3.467585012275016
15,3,Sweden,12,0,1.8479133749190553
15,3,Switzerland,14,0,2.613107705506381
15,3,Ukraine,2,14,4.6742122410686475
15,3,United Kingdom,6,2,1.945441772014131
15,4,Austria,14,0,1.246084777434761
15,4,Belgium,14,0,0.8202525378790336
15,4,Bulgaria,14,14,1.9812989893667863
15,4,Croatia,13,14,2.050263437056978
15,4,Czech Republic,14,1,1.195479165903461
15,4,Denmark,13,0,0.6826096038678905
15,4,Estonia,14,14,1.5431804320098073
15,4,Finland,0,10,1.0723842787780906
15,4,Germany,0,1,1.6129703547480583
15,4,Greece,1,14,3.479737238482923
15,4,Hungary,14,14,0.4624133105721294
15,4,Iceland,14,0,2.2103658192437017
15,4,Ireland,0,8,2.198310684452578
15,4,Italy,0,6,0.9764401912056259
15,4,Latvia,14,14,1.5513362947305422
15,4,Lithuania,14,14,1.3375647535765465
15,4,Luxembourg,4,2,3.6472863741969266
15,4,Netherlands,8,0,1.2628748143071924
15,4,Norway,1,1,2.056357480351205
15,4,Poland,6,14,1.1672876474349174
15,4,Portugal,3,14,1.0420118606457667
15,4,Slovakia,14,13,1.0248419412291643
15,4,Slovenia,14,5,1.5195091093800137
15,4,Spain,0,8,3.2310138847478225
15,4,Sweden,0,4,1.6318413566262528
15,4,Switzerland,7,0,2.7215542260548347
