country,i,j,dist
Austria,3,3,1.6911819496526883
Belgium,2,3,1.1462379347901548
Bulgaria,0,0,2.1088729273373987
Croatia,0,0,2.0891545276510994
Czech Republic,0,3,1.4311928820639588
Denmark,2,3,1.0990486154260597
Estonia,0,0,1.7967109782079098
Finland,3,1,1.2528828770139775
Germany,2,3,1.6982397825435263
Greece,1,0,3.664624203893237
Hungary,0,0,0.7005070612385286
Iceland,3,3,2.336280208777987
Ireland,3,3,2.2548547172770217
Italy,3,3,1.2197418641624902
Latvia,0,0,1.894264224703754
Lithuania,0,0,1.5890487060326581
Luxembourg,3,3,3.7056240569733703
Netherlands,3,3,1.370947997846603
Norway,3,3,2.1835935344848103
Poland,0,0,0.9958953661769386
Portugal,1,0,1.121475284300322
Slovakia,0,0,1.2681396347397222
Slovenia,0,1,1.5512813025985044
Spain,3,0,3.5358362092684166
Sweden,3,3,1.8319614821211918
Switzerland,3,3,2.8416466036069394
Ukraine,0,0,5.021614814602953
United Kingdom,3,1,1.9768803180111871
