country,i,j,dist
Austria,0,4,1.4736384124442738
Belgium,3,0,0.8689730199446591
Bulgaria,1,2,1.9258123503669757
Croatia,0,2,1.6019344113113971
Czech Republic,4,3,0.9656300642500366
Denmark,3,3,0.876969064823285
Estonia,1,2,1.8525935075966904
Finland,2,4,0.7464595623038155
Germany,4,0,1.133024783653207
Greece,1,3,2.4398274511549864
Hungary,1,2,0.7980126030712057
Iceland,0,4,1.5067673209294121
Ireland,1,1,1.6602451551675195
Italy,2,4,1.0921761806479648
Latvia,4,1,2.00139228421312
Lithuania,4,1,1.3266664820209004
Luxembourg,1,4,2.629173456951902
Netherlands,3,4,1.5618743194428035
Norway,3,4,1.7477414165203735
Poland,1,2,1.2289912467181503
Portugal,1,3,0.7754047182255963
Slovakia,4,1,0.7996920563025248
Slovenia,2,0,1.0931684573892546
Spain,0,0,1.9457515580113212
Sweden,2,4,1.3130235134976516
Switzerland,3,4,2.956709732971931
Ukraine,1,2,5.1348246035543905
United Kingdom,2,2,1.2743547390656427
