eta_inicial,grilla,seed,country,i,j,dist
0.1,rectangular,0,Austria,2,1,1.13627131650239
0.1,rectangular,0,Belgium,2,1,0.7037004249395427
0.1,rectangular,0,Bulgaria,2,0,1.9357680287510541
0.1,rectangular,0,Croatia,2,0,2.2271781304032965
0.1,rectangular,0,Czech Republic,2,2,0.8338461661090867
0.1,rectangular,0,Denmark,0,1,0.6693506610028362
0.1,rectangular,0,Estonia,2,0,1.9370914292479866
0.1,rectangular,0,Finland,1,0,0.8389651319203375
0.1,rectangular,0,Germany,1,1,1.1455681659793069
0.1,rectangular,0,Greece,2,0,3.62384919039355
0.1,rectangular,0,Hungary,0,2,0.8733839275070828
0.1,rectangular,0,Iceland,2,1,2.217917371334313
0.1,rectangular,0,Ireland,0,0,2.323344895655318
0.1,rectangular,0,Italy,1,0,1.2961607012642962
0.1,rectangular,0,Latvia,0,2,1.7830183107530146
0.1,rectangular,0,Lithuania,0,2,1.4380696733060967
0.1,rectangular,0,Luxembourg,0,1,3.78538326227196
0.1,rectangular,0,Netherlands,0,1,1.2043998446771356
0.1,rectangular,0,Norway,1,1,2.3165935802605366
0.1,rectangular,0,Poland,2,0,1.4215413551937721
0.1,rectangular,0,Portugal,2,0,1.3782753710353528
0.1,rectangular,0,Slovakia,0,2,1.0018701841451512
0.1,rectangular,0,Slovenia,2,2,1.2452076956919231
0.1,rectangular,0,Spain,0,0,2.293555091993966
0.1,rectangular,0,Sweden,1,1,1.6182935518501713
0.1,rectangular,0,Switzerland,0,1,2.839656586731596
0.1,rectangular,0,Ukraine,0,2,5.262756070786618
0.1,rectangular,0,United Kingdom,1,0,1.8560064230374231
0.1,rectangular,1,Austria,1,1,1.1739998158593172
0.1,rectangular,1,Belgium,1,1,0.808907855266232
0.1,rectangular,1,Bulgaria,2,2,2.1701122545968925
0.1,rectangular,1,Croatia,2,2,2.255953339676322
0.1,rectangular,1,Czech Republic,1,2,0.9476911349924175
0.1,rectangular,1,Denmark,1,1,0.9174109801203805
0.1,rectangular,1,Estonia,2,2,1.7950519160559353
0.1,rectangular,1,Finland,0,0,0.9741924004782648
0.1,rectangular,1,Germany,0,0,1.4541743571510972
0.1,rectangular,1,Greece,2,2,3.8093343837715805
0.1,rectangular,1,Hungary,2,2,0.7920553684038855
0.1,rectangular,1,Iceland,1,1,2.165927288682789
0.1,rectangular,1,Ireland,2,0,2.397902453168184
0.1,rectangular,1,Italy,0,0,0.8261912069251995
0.1,rectangular,1,Latvia,0,1,1.8939506876272973
0.1,rectangular,1,Lithuania,0,1,1.4866450595147382
0.1,rectangular,1,Luxembourg,1,1,3.954465621969635
0.1,rectangular,1,Netherlands,1,1,1.6726949674485359
0.1,rectangular,1,Norway,0,0,2.4100743830375437
0.1,rectangular,1,Poland,2,1,1.1942311819221472
0.1,rectangular,1,Portugal,2,2,1.3723050486804744
0.1,rectangular,1,Slovakia,0,1,1.0597674019441392
0.1,rectangular,1,Slovenia,1,2,1.3371046470722083
0.1,rectangular,1,Spain,2,0,2.175403248697479
0.1,rectangular,1,Sweden,0,0,1.5115828975628456
0.1,rectangular,1,Switzerland,1,1,3.253148141121167
0.1,rectangular,1,Ukraine,2,1,3.6705998875797325
0.1,rectangular,1,United Kingdom,0,0,1.881331576807864
0.1,rectangular,2,Austria,1,1,1.3478572884577726
0.1,rectangular,2,Belgium,1,1,1.0464413525920655
0.1,rectangular,2,Bulgaria,2,1,2.035090121147333
0.1,rectangular,2,Croatia,0,2,1.6513580497916212
0.1,rectangular,2,Czech Republic,1,2,1.135778702991928
0.1,rectangular,2,Denmark,1,1,1.1107198369023852
0.1,rectangular,2,Estonia,2,1,1.9526813194729662
0.1,rectangular,2,Finland,0,1,0.8523820919270266
0.1,rectangular,2,Germany,1,0,1.1646772243096217
0.1,rectangular,2,Greece,2,2,2.454695154728764
0.1,rectangular,2,Hungary,2,1,0.912335988277859
0.1,rectangular,2,Iceland,1,1,1.611725294495251
0.1,rectangular,2,Ireland,2,0,1.584382065110792
0.1,rectangular,2,Italy,0,1,1.2969484783452783
0.1,rectangular,2,Latvia,2,1,2.2099874992726556
0.1,rectangular,2,Lithuania,0,2,2.00300165700904
0.1,rectangular,2,Luxembourg,2,0,3.6032813085747333
0.1,rectangular,2,Netherlands,1,1,1.786428568434815
0.1,rectangular,2,Norway,1,0,2.2673441265679437
0.1,rectangular,2,Poland,2,1,1.4104299673968907
0.1,rectangular,2,Portugal,2,2,0.8216350050149681
0.1,rectangular,2,Slovakia,0,2,1.4385281627625475
0.1,rectangular,2,Slovenia,1,2,1.0897938636307243
0.1,rectangular,2,Spain,0,0,2.2697771912780134
0.1,rectangular,2,Sweden,1,0,1.5599901395979676
0.1,rectangular,2,Switzerland,2,0,3.072798357148344
0.1,rectangular,2,Ukraine,2,1,5.287784302166239
0.1,rectangular,2,United Kingdom,2,2,1.7379048464530322
0.1,rectangular,3,Austria,2,2,1.5302240203939987
