country,i,j,dist
Austria,0,2,1.1833387467349221
Belgium,0,2,0.7202058688323111
Bulgaria,1,2,2.2950889724368184
Croatia,0,1,2.213119393166679
Czech Republic,0,1,1.0575018957653906
Denmark,2,0,0.6707486283046509
Estonia,1,2,1.8302134281759717
Finland,2,1,0.9300495968812681
Germany,2,1,1.1730901659031647
Greece,2,2,3.549362938711728
Hungary,1,2,0.732992160012499
Iceland,0,2,2.2327772849899534
Ireland,2,0,2.509232436940176
Italy,1,1,1.067490707366675
Latvia,1,2,1.656272957129791
Lithuania,1,2,1.3343746859956072
Luxembourg,2,0,3.7819715922441635
Netherlands,2,0,1.167911710624645
Norway,0,0,1.6846591783456109
Poland,1,2,1.456725189058389
Portugal,2,2,1.276550284717857
Slovakia,1,2,0.988501086611119
Slovenia,0,1,1.0285798279313627
Spain,1,1,3.4873985530768956
Sweden,0,0,1.6065916710934172
Switzerland,2,0,2.8402142934209906
Ukraine,1,2,5.149004622472219
United Kingdom,2,2,1.3307591251064959
