country,i,j,dist
Austria,2,0,1.7256439298001056
Belgium,2,0,1.1504723733530073
Bulgaria,0,2,2.761691667955712
Croatia,0,2,2.3182409961674835
Czech Republic,1,2,1.4771419318059005
Denmark,2,0,1.141945654095966
Estonia,0,2,2.520235724726591
Finland,1,0,1.2354622490654759
Germany,1,0,1.7011953127588473
Greece,2,2,3.654610080229156
Hungary,0,2,1.3324931502015736
Iceland,2,0,2.3851659791207664
Ireland,2,0,2.406798774606417
Italy,2,0,1.4551873537790552
Latvia,0,2,2.5515339972469357
Lithuania,0,2,2.0369842780497374
Luxembourg,2,0,3.9616854283509215
Netherlands,2,0,1.7698664390579983
Norway,2,0,2.6113378605884927
Poland,0,2,1.4819890934504363
Portugal,2,2,1.184524103124517
Slovakia,0,2,1.4086668575982562
Slovenia,0,2,1.5660072351393703
Spain,0,0,3.443274798379831
Sweden,1,0,1.964561161971154
Switzerland,2,0,3.2996427803476704
Ukraine,0,2,5.623734369061239
United Kingdom,2,2,1.9335949443161629
