country,i,j,dist
Austria,0,3,1.5769035043547084
Belgium,1,3,1.1353459227758163
Bulgaria,3,0,2.0018571930683327
Croatia,3,0,1.9120940069788421
Czech Republic,3,3,1.3798098344408232
Denmark,1,3,1.0819971329694018
Estonia,3,0,1.7295630923428469
Finland,0,1,1.2905252425011233
Germany,0,2,1.705735588920388
Greece,3,0,3.5791086185535663
Hungary,3,0,0.654544827093712
Iceland,0,3,2.0686764783660774
Ireland,0,3,2.1084794542896788
Italy,0,3,1.3494587412735017
Latvia,3,0,1.8894531628591598
Lithuania,3,0,1.598626246132995
Luxembourg,0,3,3.600272497057048
Netherlands,0,3,1.4230121884410574
Norway,0,3,2.2605780161556805
Poland,3,0,1.0637884545877492
Portugal,2,0,1.1311245635170526
Slovakia,3,1,1.2378240161226757
Slovenia,3,3,1.5135838219163285
Spain,0,1,3.5457141757556037
Sweden,0,3,1.8597215188032101
Switzerland,0,3,2.7601838879021354
Ukraine,3,0,5.110476876238451
United Kingdom,0,0,2.0108612350963972
